node_id,parent_id,action_from_parent,depth,visits,total_value,average_value,factor_ids,projlen
0,,,0,100000,7729.377743079603,0.07729377743079603,[],0
1,0,5,1,4194,311.744734432234,0.07433112408970767,[5],3
2,0,17,1,5003,402.87630702629633,0.08052694523811639,[17],2
3,0,8,1,4274,320.6303113553115,0.07501879067742431,[8],3
4,0,16,1,4855,386.0268564768514,0.07951119597875414,[16],2
5,0,10,1,4853,385.7769730269678,0.0794924733210319,[10],2
6,0,1,1,4501,346.01023976023794,0.07687408126199466,[1],2
7,0,19,1,4596,356.71123459872905,0.0776134104871038,[19],3
8,0,13,1,5041,407.2035964035877,0.08077833691799002,[13],2
9,0,6,1,4500,345.93221778221596,0.07687382617382577,[6],2
10,0,22,1,5005,403.09925074923956,0.0805393108390089,[22],2
11,0,15,1,4593,356.3904304029242,0.07759425874219991,[15],3
12,0,9,1,3870,276.0319597069601,0.07132608777957625,[9],3
13,0,14,1,4192,311.50489926739857,0.07430937482523821,[14],3
14,0,11,1,4685,366.73951465200906,0.0782795121989347,[11],3
15,0,2,1,4854,385.8830336330285,0.07949794677235857,[2],2
16,0,20,1,4677,365.8665334665282,0.07822675507088481,[20],3
17,0,3,1,3993,289.5105769230748,0.07250452715328695,[3],3
18,0,21,1,5127,417.04497169496057,0.08134288505850606,[21],2
19,0,18,1,3870,276.0069597069602,0.07131962783125585,[18],3
20,0,12,1,3993,289.53956043955833,0.0725117857349257,[12],3
21,0,4,1,4274,320.6280677655681,0.0750182657383173,[4],3
22,0,7,1,5050,408.21951381950606,0.0808355472909913,[7],2
23,2,12,2,463,38.08233433233441,0.08225126205687779,"[17, 12]",4
24,4,16,2,1008,82.5852480852491,0.08192980960838205,"[16, 16]",4
25,8,18,2,430,32.056043956043965,0.07454893943266039,"[13, 18]",5
26,15,3,2,902,67.22820512820596,0.0745323781909157,"[2, 3]",5
27,3,12,2,789,54.7136446886448,0.06934555727331407,"[8, 12]",6
28,5,16,2,1008,82.5790875790886,0.08192369799512757,"[10, 16]",4
29,7,10,2,410,31.00329670329674,0.07561779683730913,"[19, 10]",5
30,11,18,2,385,26.68882783882793,0.06932163075020241,"[15, 18]",6
31,1,16,2,395,30.755677655677626,0.07786247507766487,"[5, 16]",5
32,6,18,2,1410,103.70769230769274,0.07355155482815087,"[1, 18]",5
33,9,6,2,1577,125.3087745587747,0.07946022483118244,"[6, 6]",4
34,10,2,2,475,40.19880119880134,0.08462905515537124,"[22, 2]",4
35,13,14,2,369,26.189514652014683,0.07097429444990429,"[14, 14]",6
36,16,9,2,394,27.79624542124543,0.07054884624681582,"[20, 9]",6
37,17,4,2,1325,95.72838827838898,0.07224784021010489,"[3, 4]",6
38,18,6,2,475,39.50283050283063,0.08316385369016975,"[21, 6]",4
39,19,9,2,1228,84.11016483516454,0.06849361957260956,"[18, 9]",6
40,22,9,2,430,32.04102564102565,0.0745140131186643,"[7, 9]",5
41,12,1,2,1344,98.87435897435941,0.0735672313797317,"[9, 1]",5
42,20,8,2,1325,95.72779304029372,0.07224739097380659,"[12, 8]",6
43,14,5,2,405,29.65215201465202,0.07321519015963462,"[11, 5]",6
44,21,13,2,879,67.63827838827879,0.07694912217096564,"[4, 13]",5
45,4,13,2,1033,86.1982184482196,0.08344454835258433,"[16, 13]",4
46,5,3,2,902,67.25421245421327,0.0745612111465779,"[10, 3]",5
47,2,19,2,451,35.91625041625048,0.07963691888303875,"[17, 19]",5
48,10,15,2,452,36.143256743256806,0.07996295739658585,"[22, 15]",5
49,15,2,2,1008,82.52788877788981,0.08187290553362085,"[2, 2]",4
50,18,10,2,470,38.558608058608165,0.08203959161405992,"[21, 10]",4
51,8,8,2,464,38.05694305694315,0.08201927382961885,"[13, 8]",4
