parent_id,action,child_id
0,5,1
0,17,2
0,8,3
0,16,4
0,10,5
0,1,6
0,19,7
0,13,8
0,6,9
0,22,10
0,15,11
0,9,12
0,14,13
0,11,14
0,2,15
0,20,16
0,3,17
0,21,18
0,18,19
0,12,20
0,4,21
0,7,22
1,16,31
1,5,53
1,1,82
1,13,104
1,3,128
1,18,149
1,12,172
1,19,195
1,4,216
1,2,238
1,22,259
2,12,23
2,19,47
2,18,72
2,13,97
2,5,116
2,22,144
2,3,161
2,2,185
2,4,203
2,16,227
2,1,246
3,12,27
3,2,57
3,3,77
3,13,103
3,16,124
4,16,24
4,13,45
4,2,67
4,12,89
4,3,111
5,16,28
5,3,46
5,2,68
5,12,91
5,13,115
6,18,32
6,4,59
6,1,78
7,10,29
7,8,52
7,11,75
7,21,93
7,6,121
7,7,145
7,20,166
7,1,189
7,9,210
7,4,233
7,18,252
8,18,25
8,8,51
8,4,71
8,7,94
8,21,117
8,11,139
8,1,157
8,9,179
8,6,204
8,10,224
8,20,247
9,6,33
9,9,54
9,8,76
10,2,34
10,15,48
10,6,73
10,12,95
10,13,118
10,9,140
10,17,162
10,16,180
10,14,199
10,3,221
10,8,243
11,18,30
11,7,63
11,1,81
11,6,101
11,11,120
11,10,143
11,4,165
11,20,187
11,8,211
11,9,232
11,21,255
12,1,41
12,4,65
12,18,87
13,14,35
13,3,60
13,17,86
13,12,109
13,13,131
13,9,153
13,2,175
13,15,198
13,8,220
13,16,242
13,6,264
14,5,43
14,19,66
14,13,88
14,3,108
14,16,126
14,1,148
14,22,170
14,12,191
14,18,213
14,2,236
14,4,257
15,3,26
15,2,49
15,13,69
15,16,96
15,12,112
16,9,36
16,16,61
16,3,74
16,17,90
16,15,114
16,8,136
16,13,164
16,2,183
16,14,201
16,12,225
16,6,250
17,4,37
17,1,55
17,18,79
18,6,38
18,10,50
18,9,70
18,21,92
18,11,113
18,7,135
18,4,160
18,20,182
18,8,207
18,1,229
18,18,251
19,9,39
19,8,64
19,6,83
20,8,42
20,9,62
20,6,84
21,13,44
21,2,58
21,16,85
21,3,102
21,12,127
22,9,40
22,18,56
22,1,80
22,4,98
22,7,122
22,21,141
22,8,159
22,11,181
22,20,205
22,6,222
22,10,244
23,9,353
23,6,623
23,8,861
24,13,137
24,2,248
24,12,360
24,16,468
24,3,581
25,8,485
25,6,728
25,9,943
26,18,184
26,1,334
26,4,444
27,8,234
27,6,345
27,9,456
28,2,133
28,3,245
28,12,362
28,13,487
28,16,600
29,3,406
29,16,693
29,13,957
29,2,1195
29,12,1437
30,8,494
30,9,738
30,6,981
31,13,303
31,2,544
31,16,809
31,3,1035
31,12,1281
32,9,142
32,6,209
32,8,276
33,8,119
33,9,186
33,6,253
34,13,265
34,12,515
34,16,801
34,2,1060
34,3,1233
35,2,351
35,12,611
35,17,880
35,9,1150
35,14,1400
35,6,1668
35,3,1912
35,16,2183
35,13,2427
35,15,2657
35,8,2887
36,1,424
36,4,734
36,18,950
37,12,106
37,16,174
37,2,239
37,13,306
37,3,372
38,8,273
38,6,511
38,9,754
39,4,152
39,1,218
39,18,285
40,4,375
40,1,639
40,18,898
41,18,110
41,1,176
41,4,241
42,3,107
42,16,169
42,2,260
42,13,326
42,12,391
43,22,410
43,13,648
43,18,911
43,2,1171
43,19,1389
43,16,1627
43,3,1872
43,12,2113
43,5,2352
43,1,2594
43,4,2818
44,11,151
44,18,279
44,4,392
44,6,501
44,8,631
44,21,742
44,1,830
44,10,962
44,7,1051
44,9,1165
44,20,1278
45,18,156
45,20,269
45,11,381
45,9,512
45,1,625
45,6,733
45,8,841
45,10,951
45,7,1058
45,4,1166
45,21,1275
46,18,177
46,4,338
46,1,425
47,1,376
47,21,645
47,4,883
47,20,1030
47,10,1315
47,9,1594
47,11,1852
47,7,2091
47,6,2323
47,8,2563
47,18,2785
48,18,493
48,7,713
48,11,930
48,8,1168
48,21,1361
48,10,1601
48,4,1834
48,20,2064
48,1,2303
48,6,2539
48,9,2768
49,3,158
49,12,289
49,13,399
49,2,510
49,16,618
50,3,294
50,12,577
50,16,838
50,2,1075
50,13,1311
51,13,311
51,3,507
51,2,791
51,12,1008
51,16,1270
52,13,340
52,12,585
52,16,869
52,3,1065
52,2,1348
53,13,477
53,22,678
53,2,853
53,18,1102
53,16,1435
53,19,1711
53,3,1930
53,4,2197
53,5,2445
53,1,2717
53,12,2940
54,1,138
54,4,208
54,18,275
55,18,130
55,1,196
55,4,261
56,9,486
56,6,727
56,8,965
57,16,190
57,12,256
57,2,367
57,3,480
57,13,590
58,12,214
58,3,301
58,16,414
58,2,524
58,13,609
59,13,123
59,16,188
59,3,254
59,2,321
59,12,386
60,4,415
60,18,587
60,1,832
61,12,272
61,16,576
61,2,821
61,3,995
61,13,1279
62,18,147
62,1,215
62,4,282
63,6,342
63,20,538
63,10,805
63,21,1112
63,11,1310
63,18,1533
63,7,1820
63,9,2040
63,1,2282
63,8,2565
63,4,2757
64,3,105
64,16,173
64,2,240
64,12,307
64,13,396
65,12,154
65,16,219
65,13,262
65,2,327
65,3,393
66,18,453
66,10,692
66,11,933
66,4,1149
66,21,1345
66,9,1583
66,20,1829
66,7,2072
66,6,2309
66,1,2549
66,8,2778
67,3,178
67,12,291
67,16,403
67,2,491
67,13,603
68,16,200
68,12,293
68,3,404
68,13,509
68,2,621
69,7,228
69,21,271
69,4,356
69,6,467
69,1,598
69,9,686
69,10,793
69,11,903
69,18,1011
69,20,1119
69,8,1229
70,4,359
70,18,644
70,1,881
71,12,354
71,16,643
71,13,900
71,3,1031
71,2,1312
72,8,420
72,9,688
72,6,968
73,8,335
73,9,580
73,6,843
74,18,296
74,1,536
74,4,756
75,12,274
75,22,518
75,3,758
75,16,1043
75,4,1282
75,2,1527
75,18,1771
75,1,2010
75,19,2252
75,13,2521
75,5,2751
76,16,99
76,2,163
76,12,230
76,13,320
76,3,387
77,4,212
77,1,323
77,18,433
78,4,100
78,1,167
78,18,231
79,8,150
79,6,217
79,9,283
80,1,267
80,4,531
80,18,749
81,1,297
81,18,561
81,4,849
82,4,324
82,18,565
82,1,875
83,9,129
83,8,194
83,6,263
84,8,125
84,6,193
84,9,237
85,13,171
85,16,258
85,12,369
85,3,479
85,2,588
86,13,373
86,16,525
86,3,766
86,4,1018
86,2,1262
86,5,1514
86,1,1800
86,12,2003
86,22,2270
86,18,2500
86,19,2744
87,9,132
87,6,197
87,8,284
88,9,278
88,18,540
88,6,825
88,21,1041
88,8,1258
88,1,1476
88,10,1715
88,11,1963
88,20,2201
88,7,2442
88,4,2681
89,8,202
89,6,314
89,9,423
90,22,357
90,1,619
90,16,865
90,2,1103
90,13,1322
90,12,1560
90,18,1804
90,4,2045
90,19,2287
90,5,2530
90,3,2763
91,8,223
91,9,315
91,6,449
92,9,316
92,11,620
92,21,860
92,4,1096
92,10,1332
92,1,1570
92,6,1824
92,20,2039
92,7,2272
92,18,2507
92,8,2738
93,9,430
93,20,715
93,10,847
93,1,1108
93,21,1304
93,11,1548
93,8,1796
93,7,2032
93,4,2278
93,6,2499
93,18,2732
94,18,377
94,11,664
94,10,920
94,4,1162
94,6,1379
94,21,1569
94,8,1805
94,7,2041
94,9,2214
94,20,2449
94,1,2647
95,6,402
95,8,668
95,9,952
96,3,134
96,2,249
96,13,378
96,16,489
96,12,575
97,4,332
97,20,579
97,11,817
97,9,1072
97,18,1358
97,21,1575
97,10,1763
97,1,2027
97,8,2263
97,6,2453
97,7,2690
98,3,397
98,16,661
98,12,855
98,2,1093
98,13,1372
99,16,454
99,3,784
99,12,1180
99,2,1508
99,13,1774
100,2,299
100,12,495
100,13,695
100,16,958
100,3,1153
101,6,277
101,9,516
101,8,761
102,1,192
102,18,325
102,4,436
103,4,146
103,18,280
103,1,412
103,9,522
103,6,632
103,10,741
103,8,851
103,7,961
103,11,1073
103,20,1188
103,21,1299
104,8,390
104,20,589
104,21,787
104,11,1057
104,4,1325
104,10,1524
104,1,1777
104,6,2021
104,18,2267
104,9,2534
104,7,2793
105,4,572
105,1,979
105,18,1342
106,8,504
106,6,864
106,9,1198
107,1,457
107,18,789
107,4,1194
108,1,344
108,4,605
108,18,846
109,8,286
109,6,700
109,9,948
110,8,439
110,9,637
110,6,844
111,1,226
111,18,336
111,4,445
112,8,206
112,9,312
112,6,422
113,3,382
113,4,665
113,5,902
113,2,1161
113,22,1419
113,13,1637
113,1,1802
113,16,2083
113,18,2293
113,12,2529
113,19,2756
114,8,379
114,4,596
114,9,842
114,10,1081
114,20,1343
114,7,1626
114,11,1849
114,18,2088
114,21,2355
114,6,2575
114,1,2783
115,18,155
115,7,268
115,20,384
115,4,469
115,9,578
115,1,706
115,10,813
115,21,922
115,11,1009
115,6,1121
115,8,1230
116,19,443
116,12,667
116,16,901
116,22,1160
116,2,1402
116,1,1635
116,13,1874
116,3,2111
116,4,2367
116,18,2607
116,5,2825
117,10,400
117,1,553
117,11,751
117,18,986
117,8,1228
117,4,1467
117,20,1697
117,6,1934
117,21,2171
117,9,2406
117,7,2686
118,8,426
118,11,602
118,6,757
118,1,1038
118,21,1276
118,20,1535
118,18,1750
118,10,1984
118,7,2216
118,4,2454
118,9,2688
119,16,298
119,2,498
119,13,696
119,12,894
119,3,1092
120,13,363
120,2,673
120,22,914
120,1,1156
120,16,1378
120,5,1622
120,4,1842
120,19,2062
120,12,2327
120,3,2542
120,18,2842
121,6,452
121,8,629
121,9,891
122,9,331
122,21,595
122,6,795
122,7,1050
122,1,1265
122,10,1457
122,8,1714
122,18,1953
122,4,2191
122,11,2426
122,20,2699
123,1,451
123,7,782
123,6,1110
123,11,1438
123,10,1772
123,4,2100
123,20,2425
123,21,2746
123,8,3060
123,9,3335
123,18,3650
124,12,168
124,16,302
124,2,389
124,3,500
124,13,612
125,16,304
125,13,569
125,2,767
125,12,971
125,3,1238
126,16,432
126,3,562
126,2,803
126,12,1062
126,13,1302
127,6,235
127,8,347
127,9,458
128,18,411
128,4,721
128,1,988
129,4,374
129,1,660
129,18,867
130,8,395
130,6,592
130,9,724
131,21,394
131,6,545
131,20,788
131,4,1040
131,11,1284
131,8,1558
131,9,1822
131,7,2073
131,10,2292
131,18,2546
131,1,2826
132,1,349
132,18,549
132,4,888
133,12,899
133,16,1460
133,13,2004
133,2,2538
133,3,3049
134,1,1034
134,4,1549
134,18,2224
135,4,405
135,9,687
135,1,947
135,21,1118
135,8,1353
135,18,1593
135,6,1846
135,10,2061
135,11,2314
135,7,2550
135,20,2776
136,13,470
136,12,689
136,2,974
136,3,1191
136,16,1431
137,1,691
137,10,1231
137,6,1788
137,20,2333
137,8,2872
137,21,3373
137,7,3829
137,18,4303
137,11,4736
137,9,5152
137,4,5589
138,4,409
138,1,541
138,18,740
139,19,266
139,12,574
139,22,835
139,5,1116
139,3,1357
139,2,1612
139,1,1826
139,18,2082
139,13,2342
139,4,2582
139,16,2802
140,4,447
140,1,735
140,18,972
141,18,288
141,20,551
141,8,816
141,21,989
141,9,1223
141,1,1479
141,11,1692
141,10,1932
141,7,2170
141,4,2405
141,6,2639
142,18,472
142,1,672
142,4,870
143,2,428
143,3,694
143,13,959
143,16,1177
143,12,1417
144,13,270
144,6,557
144,8,796
144,16,1052
144,12,1272
144,15,1553
144,2,1786
144,17,2048
144,3,2283
144,14,2474
144,9,2710
145,10,361
145,21,607
145,8,824
