node_id,parent_id,action_from_parent,depth,visits,total_value,average_value,factor_ids,projlen
0,,,0,10000,116.78684797108083,0.011678684797108083,[],0
1,0,5,1,455,5.310999631968111,0.011672526663666178,[5],3
2,0,18,1,453,5.186115799234983,0.011448379247759344,[18],3
3,0,19,1,455,5.331085459771387,0.011716671340156895,[19],3
4,0,20,1,455,5.341916972264632,0.01174047686212007,[20],3
5,0,11,1,455,5.350692169023908,0.011759763008843755,[11],3
6,0,2,1,455,5.342722343367193,0.011742246908499324,[2],2
7,0,17,1,455,5.368142509887582,0.011798115406346333,[17],2
8,0,8,1,454,5.270815791682352,0.011609726413397251,[8],3
9,0,9,1,454,5.205304560506241,0.011465428547370576,[9],3
10,0,4,1,454,5.267667402307159,0.011602791635037794,[4],3
11,0,16,1,455,5.346635154842102,0.011750846494158465,[16],2
12,0,22,1,455,5.356996299495417,0.011773618240649267,[22],2
13,0,12,1,454,5.244398743227316,0.011551539081998493,[12],3
14,0,10,1,455,5.3448057601069765,0.01174682584638896,[10],2
15,0,1,1,454,5.256973763967597,0.011579237365567395,[1],2
16,0,7,1,455,5.371554898357739,0.0118056151612258,[7],2
17,0,15,1,455,5.365528350956325,0.011792370002101813,[15],3
18,0,3,1,454,5.235476121108571,0.011531885729314033,[3],3
19,0,14,1,454,5.29679784987501,0.01166695561646478,[14],3
20,0,21,1,455,5.357240573218062,0.011774155105973764,[21],2
21,0,6,1,454,5.266494139866433,0.011600207356533993,[6],2
22,0,13,1,455,5.368483676045531,0.01179886522207809,[13],2
23,17,1,2,41,0.4805889735201136,0.01172168228097838,"[15, 1]",5
24,5,5,2,41,0.48286767919066514,0.011777260468065003,"[11, 5]",6
25,22,11,2,41,0.4872318566360273,0.01188370382039091,"[13, 11]",5
26,1,5,2,41,0.47849644799271607,0.011670645072993075,"[5, 5]",6
27,12,8,2,41,0.4808811487434559,0.011728808505937948,"[22, 8]",5
28,13,9,2,151,1.7307764148887153,0.011462095462839174,"[12, 9]",6
29,16,6,2,41,0.4812966849848041,0.011738943536214734,"[7, 6]",4
30,4,8,2,41,0.4747939119632421,0.011580339316176637,"[20, 8]",6
31,7,1,2,41,0.482068481798385,0.011757767848741099,"[17, 1]",4
32,3,9,2,41,0.4679695539712032,0.011413891560273249,"[19, 9]",6
33,8,3,2,90,1.0379471679485504,0.011532746310539448,"[8, 3]",5
34,10,13,2,91,1.0670124989318148,0.011725412076173789,"[4, 13]",5
35,14,12,2,90,1.0430186591344324,0.011589096212604804,"[10, 12]",5
36,18,1,2,151,1.7500093574621736,0.011589465943458103,"[3, 1]",5
37,19,8,2,41,0.4755689522521481,0.011599242737857271,"[14, 8]",6
38,2,6,2,151,1.7379037495295706,0.011509296354500468,"[18, 6]",5
39,6,12,2,90,1.0419678777013197,0.011577420863347997,"[2, 12]",5
40,20,18,2,41,0.4742049972071456,0.011565975541637697,"[21, 18]",5
