parent_id,action,child_id
0,5,1
0,18,2
0,19,3
0,17,4
0,2,5
0,22,6
0,10,7
0,8,8
0,11,9
0,9,10
0,20,11
0,16,12
0,21,13
0,3,14
0,4,15
0,15,16
0,13,17
0,12,18
0,14,19
0,6,20
0,1,21
0,7,22
1,2,33
1,5,57
1,18,84
1,12,106
1,16,127
1,19,149
1,3,170
1,13,191
1,4,212
1,22,234
1,1,256
2,9,34
2,8,64
2,6,86
3,4,35
3,9,55
3,21,79
3,11,100
3,6,125
3,7,146
3,18,166
3,8,187
3,20,209
3,1,231
3,10,250
4,18,23
4,4,52
4,16,75
4,3,94
4,5,117
4,13,140
4,12,160
4,2,181
4,19,203
4,22,222
4,1,243
5,16,24
5,2,45
5,12,67
5,3,91
5,13,114
6,3,25
6,17,46
6,6,68
6,12,89
6,16,111
6,2,133
6,13,155
6,14,177
6,15,198
6,8,217
6,9,240
7,2,26
7,13,47
7,12,69
7,3,92
7,16,115
8,2,36
8,16,58
8,3,81
8,13,103
8,12,123
9,22,37
9,16,59
9,5,77
9,18,101
9,12,126
9,3,144
9,19,164
9,2,186
9,13,208
9,4,226
9,1,249
10,4,38
10,18,65
10,1,87
11,6,39
11,13,60
11,16,78
11,17,99
11,12,121
11,15,141
11,14,163
11,3,185
11,8,207
11,2,228
11,9,248
12,3,27
12,2,53
12,13,71
12,16,93
12,12,112
13,7,28
13,8,48
13,10,70
13,9,90
13,20,113
13,4,135
13,18,156
13,21,179
13,1,200
13,6,218
13,11,237
14,1,40
14,18,61
14,4,85
15,2,41
15,13,62
15,12,82
15,16,104
15,3,124
16,8,42
16,18,56
16,9,80
16,21,102
16,4,122
16,20,145
16,7,167
16,11,188
16,1,210
16,6,232
16,10,251
17,6,29
17,18,49
17,9,72
17,11,96
17,4,118
17,21,139
17,7,158
17,8,180
17,1,201
17,20,219
17,10,241
18,9,43
18,8,66
18,6,88
19,17,44
19,16,63
19,8,83
19,12,105
19,9,128
19,14,150
19,13,172
19,3,192
19,6,213
19,2,233
19,15,255
20,6,30
20,8,50
20,9,73
21,1,31
21,4,51
21,18,74
22,9,32
22,18,54
22,8,76
22,6,95
22,1,116
22,21,138
22,4,157
22,11,178
22,20,202
22,7,220
22,10,242
23,6,385
23,9,633
23,8,858
24,13,134
24,12,252
24,3,360
24,16,496
24,2,579
25,18,263
25,4,519
25,1,739
26,3,136
26,12,274
26,13,402
26,16,503
26,2,618
27,18,206
27,1,319
27,4,427
28,1,258
28,18,487
28,20,769
28,10,1049
28,11,1227
28,4,1449
28,8,1631
28,6,1823
28,21,2038
28,7,2238
28,9,2448
29,9,259
29,8,551
29,6,714
30,6,97
30,8,165
30,9,235
31,1,98
31,4,168
31,18,236
32,18,404
32,4,656
32,1,878
33,13,277
33,12,520
33,3,763
33,2,1004
33,16,1242
34,18,129
34,1,223
34,4,292
35,16,272
35,3,516
35,2,745
35,13,975
35,12,1209
36,12,147
36,13,331
36,2,400
36,3,507
36,16,623
37,3,355
37,12,590
37,2,822
37,16,1050
37,6,1277
37,8,1486
37,17,1713
37,13,1944
37,9,2147
37,15,2371
37,14,2578
38,13,131
38,2,199
38,16,271
38,12,340
38,3,414
39,8,354
39,9,628
39,6,880
40,1,109
40,18,173
40,4,244
41,2,148
41,13,265
41,3,374
41,16,508
41,12,622
42,13,273
42,2,502
42,12,741
42,3,976
42,16,1210
43,4,132
43,18,196
43,1,295
44,16,278
44,18,521
44,12,810
44,4,1022
44,1,1305
44,3,1542
44,2,1738
44,22,1972
44,5,2210
44,13,2447
44,19,2685
45,16,159
45,3,275
45,13,382
45,12,471
45,2,598
46,3,285
46,12,538
46,19,760
46,16,1021
46,4,1220
46,13,1441
46,2,1642
46,18,1840
46,1,2061
46,5,2277
46,22,2492
47,1,161
47,8,253
47,4,358
47,18,468
47,10,575
47,9,684
47,6,790
47,20,903
47,21,1012
47,11,1123
47,7,1239
48,3,279
48,2,589
48,12,789
48,13,987
48,16,1188
49,8,408
49,9,671
49,6,913
50,3,119
50,2,189
50,13,257
50,12,328
50,16,395
51,3,120
51,12,190
51,2,261
51,13,329
51,16,394
52,2,407
52,3,650
52,13,877
52,12,1098
52,16,1303
53,3,137
53,2,254
53,16,359
53,13,472
53,12,577
54,6,428
54,9,637
54,8,857
55,4,469
55,18,702
55,1,954
56,9,461
56,6,720
56,8,932
57,13,409
57,4,647
57,19,916
57,1,1195
57,22,1414
57,16,1652
57,5,1844
57,2,2081
57,12,2290
57,18,2534
57,3,2769
58,16,171
58,2,264
58,13,377
58,12,485
58,3,600
59,3,269
59,13,501
59,12,743
59,2,990
59,16,1215
60,8,270
60,9,500
60,7,774
60,20,1007
60,4,1235
60,6,1465
60,1,1655
60,10,1880
60,18,2108
60,21,2332
60,11,2538
61,8,130
61,6,195
61,9,266
62,7,169
62,4,287
62,21,397
62,6,486
62,1,601
62,20,710
62,18,827
62,10,944
62,11,1064
62,9,1180
62,8,1294
63,3,300
63,12,611
63,13,831
63,16,1044
63,2,1263
64,2,152
64,16,197
64,13,267
64,3,339
64,12,413
65,8,153
65,9,225
65,6,294
66,2,154
66,3,224
66,12,268
66,13,370
66,16,415
67,8,204
67,6,320
67,9,425
68,9,305
68,6,557
68,8,779
69,8,205
69,9,336
69,6,446
70,13,302
70,2,504
70,16,711
70,12,931
70,3,1208
71,18,162
71,8,276
71,11,381
71,6,489
71,4,599
71,9,707
71,7,794
71,10,906
71,21,1014
71,20,1124
71,1,1238
72,4,430
72,1,692
72,18,870
73,4,142
73,1,211
73,18,282
74,8,143
74,6,214
74,9,284
75,16,262
75,13,492
75,12,715
75,2,958
75,3,1161
76,2,260
76,3,491
76,13,738
76,16,939
76,12,1160
77,5,418
77,18,721
77,13,886
77,1,1115
77,19,1360
77,16,1569
77,3,1774
77,4,2001
77,22,2224
77,12,2453
77,2,2677
78,12,289
78,13,522
78,16,735
78,3,964
78,2,1196
79,9,313
79,7,555
79,21,787
79,18,1038
79,6,1268
79,10,1496
79,20,1708
79,4,1960
79,1,2154
79,8,2380
79,11,2580
80,1,312
80,4,570
80,18,845
81,1,194
81,18,286
81,4,422
82,8,193
82,6,330
82,9,442
83,3,410
83,13,652
83,2,893
83,12,1132
83,16,1389
84,9,432
84,6,716
84,8,940
85,12,151
85,16,221
85,3,293
85,13,369
85,2,412
86,6,107
86,8,174
86,9,245
87,4,108
87,18,176
87,1,247
88,9,110
88,6,175
88,8,246
89,8,388
89,9,660
89,6,901
90,1,403
90,18,646
90,4,867
91,4,227
91,1,338
91,18,449
92,1,229
92,18,314
92,4,423
93,3,184
93,2,298
93,12,405
93,13,510
93,16,620
94,4,429
94,18,672
94,1,917
95,6,280
95,9,512
95,8,759
96,1,452
96,5,649
96,3,892
