node_id,parent_id,action_from_parent,depth,visits,total_value,average_value,factor_ids,projlen
0,,,0,500000,38874.22673561289,0.07774845347122578,[],0
1,0,5,1,18990,1413.7678113554737,0.07444801534257366,[5],3
2,0,17,1,27454,2213.980369630069,0.08064327127668351,[17],2
3,0,8,1,19733,1482.9105311357137,0.07514876253664995,[8],3
4,0,16,1,25901,2065.3112720612075,0.07973866924293299,[16],2
5,0,10,1,25897,2064.9362637361987,0.0797365047587056,[10],2
6,0,1,1,22063,1701.23210123224,0.07710792282247382,[1],2
7,0,19,1,22973,1787.0942349318038,0.07779106929577347,[19],3
8,0,13,1,27863,2253.249167498791,0.08086886435411804,[13],2
9,0,6,1,22063,1701.2357642359027,0.07710808884720585,[6],2
10,0,22,1,27455,2214.077039626736,0.08064385502191718,[22],2
11,0,15,1,22966,1786.4306651682355,0.0777858863175231,[15],3
12,0,9,1,16240,1160.417902930537,0.0714543043676439,[9],3
13,0,14,1,18984,1413.2266941393557,0.07444304119992393,[14],3
14,0,11,1,24124,1896.125820013299,0.07859914690819512,[11],3
15,0,2,1,25897,2064.9465034964396,0.07973690016204346,[2],2
16,0,20,1,24110,1894.7902181151958,0.07858939104583973,[20],3
17,0,3,1,17250,1253.0000000001803,0.07263768115943074,[3],3
18,0,21,1,28937,2356.563653013142,0.08143773207357853,[21],2
19,0,18,1,16238,1160.2500457876802,0.0714527679386427,[18],3
20,0,12,1,17252,1253.18282967051,0.07263985796838106,[12],3
21,0,4,1,19736,1483.1842948719773,0.07515121072517113,[4],3
22,0,7,1,27874,2254.3135531131757,0.08087513643944808,[7],2
23,2,12,2,2603,214.60705960706093,0.08244604671804108,"[17, 12]",4
24,4,16,2,5595,458.6094738594595,0.08196773438060045,"[16, 16]",4
25,8,18,2,2211,164.86520146520132,0.0745658984464954,"[13, 18]",5
26,15,3,2,4433,330.7228937728944,0.07460475835165675,"[2, 3]",5
27,3,12,2,3375,234.14935897436584,0.06937758784425654,"[8, 12]",6
28,5,16,2,5594,458.5263902763759,0.08196753490818304,"[10, 16]",4
29,7,10,2,2001,151.28333333333393,0.07560386473429981,"[19, 10]",5
30,11,18,2,1770,122.75531135530971,0.0693532832515874,"[15, 18]",6
31,1,16,2,1848,144.0373626373627,0.07794229579943869,"[5, 16]",5
32,6,18,2,6477,477.15274725274725,0.0736687891389142,"[1, 18]",5
33,9,6,2,8148,648.8264235764514,0.07963014525975103,"[6, 6]",4
34,10,2,2,2735,231.35997335997627,0.08459231201461655,"[22, 2]",4
35,13,14,2,1620,115.04913003662995,0.07101798150409255,"[14, 14]",6
36,16,9,2,1870,132.0461538461535,0.07061291649526924,"[20, 9]",6
37,17,4,2,5686,411.0437728937743,0.07229049822261244,"[3, 4]",6
38,18,6,2,2752,229.35822510822706,0.08334237830967553,"[21, 6]",4
39,19,9,2,4925,337.62715201464715,0.06855373644967455,"[18, 9]",6
40,22,9,2,2211,164.850183150183,0.07455910590238941,"[7, 9]",5
41,12,1,2,5847,430.69084249084256,0.0736601406688631,"[9, 1]",5
42,20,8,2,5686,411.043177655679,0.07229039353775572,"[12, 8]",6
43,14,5,2,1968,144.01163003663058,0.0731766412787757,"[11, 5]",6
44,21,13,2,4165,320.47051282051297,0.07694370055714597,"[4, 13]",5
