parent_id,action,child_id
0,5,1
0,18,2
0,19,3
0,20,4
0,11,5
0,2,6
0,17,7
0,8,8
0,9,9
0,4,10
0,16,11
0,22,12
0,12,13
0,10,14
0,1,15
0,7,16
0,15,17
0,3,18
0,14,19
0,21,20
0,6,21
0,13,22
1,5,26
1,13,64
1,18,83
1,4,108
1,2,128
1,16,147
1,3,170
1,22,194
1,12,213
1,1,234
1,19,252
2,6,38
2,9,61
2,8,87
3,9,32
3,21,58
3,18,80
3,20,105
3,7,130
3,6,145
3,11,168
3,1,188
3,10,205
3,4,229
3,8,251
4,8,30
4,6,56
4,12,77
4,14,99
4,17,120
4,15,141
4,3,167
4,13,189
4,2,211
4,16,227
4,9,245
5,5,24
5,16,47
5,4,67
5,22,91
5,3,115
5,2,137
5,1,157
5,18,180
5,13,208
5,19,233
5,12,256
6,12,39
6,3,60
6,16,82
6,13,98
6,2,119
7,1,31
7,16,46
7,4,69
7,19,90
7,2,111
7,3,134
7,22,155
7,13,177
7,12,199
7,18,221
7,5,243
8,3,33
8,13,59
8,12,84
8,16,106
8,2,129
9,1,42
9,18,62
9,4,88
10,13,34
10,16,48
10,3,72
10,2,97
10,12,123
11,16,43
11,12,51
11,3,71
11,13,94
11,2,118
12,8,27
12,17,55
12,3,75
12,16,93
12,14,114
12,9,136
12,13,158
12,2,182
12,12,202
12,6,223
12,15,247
13,9,28
13,6,53
13,8,76
14,12,35
14,3,57
14,2,86
14,13,103
14,16,121
15,4,44
15,1,50
15,18,74
16,6,29
16,1,49
16,8,70
16,7,95
16,21,113
16,11,133
16,4,156
16,9,178
16,20,201
16,18,226
16,10,248
17,1,23
17,7,45
17,21,68
17,4,92
17,18,116
17,10,140
17,8,162
17,9,184
17,11,204
17,20,224
17,6,246
18,1,36
18,4,54
18,18,81
19,8,37
19,13,66
19,12,85
19,15,107
19,14,127
19,6,152
19,3,171
19,17,192
19,2,215
19,16,238
19,9,259
20,18,40
20,8,65
20,20,78
20,7,96
20,1,117
20,9,138
20,6,161
20,21,183
20,10,203
20,4,225
20,11,249
21,6,41
21,8,63
21,9,79
22,11,25
22,21,52
22,8,73
22,10,89
22,6,112
22,18,135
22,4,160
22,9,179
22,7,200
22,1,222
22,20,244
23,1,473
23,18,691
23,4,931
24,3,387
24,19,623
24,4,885
24,5,1131
24,1,1351
24,18,1571
24,13,1811
24,22,2053
24,12,2339
24,2,2515
24,16,2758
25,5,486
25,18,683
25,16,903
25,12,1101
25,2,1321
25,19,1563
25,3,1827
25,13,2047
25,22,2290
25,4,2510
25,1,2730
26,5,493
26,2,716
26,22,915
26,16,1135
26,4,1356
26,18,1642
26,13,1883
26,3,2081
26,12,2324
26,19,2587
26,1,2851
27,13,487
27,3,619
27,16,861
27,12,1081
27,2,1411
28,18,148
28,4,218
28,1,262
29,8,312
29,9,601
29,6,934
30,2,446
30,3,692
30,16,957
30,12,1200
30,13,1441
31,18,310
31,1,640
31,4,882
32,1,447
32,18,717
32,4,958
33,4,216
33,18,284
33,1,416
34,10,143
34,11,255
34,21,367
34,9,564
34,6,630
34,1,718
34,8,850
34,4,938
34,7,1049
34,18,1159
34,20,1247
35,9,207
35,8,342
35,6,452
36,1,126
36,18,169
36,4,239
37,16,502
37,13,741
37,2,961
37,12,1223
37,3,1443
38,9,132
38,8,197
38,6,241
39,8,210
39,6,293
39,9,406
40,8,489
40,9,729
40,6,972
41,6,146
41,9,190
41,8,235
42,18,131
42,1,198
42,4,242
43,13,139
43,3,254
43,2,354
43,16,464
43,12,577
44,2,102
44,12,173
44,3,236
44,13,303
44,16,371
45,6,362
45,7,541
45,20,779
45,9,996
45,1,1240
45,21,1483
45,8,1723
45,4,1989
45,18,2252
45,11,2516
45,10,2713
46,12,465
46,16,706
46,3,904
46,2,1102
46,13,1322
47,16,276
47,13,538
47,3,774
47,12,1041
47,2,1285
48,3,187
48,2,300
48,16,457
48,12,476
48,13,586
49,18,408
49,4,558
49,1,800
50,1,150
50,4,214
50,18,280
51,6,159
51,8,274
51,9,442
52,7,375
52,1,639
52,6,881
52,9,1123
52,10,1387
52,20,1651
52,4,1871
52,21,2069
52,8,2334
52,18,2554
52,11,2840
53,9,124
53,8,195
53,6,283
54,12,149
54,13,217
54,3,281
54,2,344
54,16,410
55,13,399
55,19,641
55,18,817
55,12,1037
55,3,1279
55,5,1543
55,4,1785
55,22,2006
55,16,2270
55,1,2512
55,2,2711
56,6,355
56,8,670
56,9,913
57,1,232
57,18,320
57,4,430
58,21,386
58,20,514
58,1,783
58,4,1046
58,8,1288
58,18,1508
58,10,1750
58,6,2014
58,11,2256
58,9,2497
58,7,2739
59,4,196
59,18,260
59,9,372
59,21,482
59,6,592
59,1,702
59,11,812
59,20,922
59,10,1032
59,8,1141
59,7,1251
60,4,185
60,1,340
60,18,448
61,4,153
61,1,175
61,18,264
62,9,154
62,6,220
62,8,285
63,2,104
63,16,164
63,3,257
63,12,324
63,13,412
64,11,338
64,6,584
64,1,826
64,10,1091
64,9,1333
64,20,1620
64,7,1730
64,8,1972
64,18,2236
64,21,2477
64,4,2697
65,12,316
65,2,598
65,3,884
65,13,1148
65,16,1390
66,18,282
66,4,697
66,10,895
66,11,1180
66,9,1377
66,6,1619
66,21,1884
66,20,2016
66,1,2257
66,7,2544
66,8,2808
67,12,431
67,16,666
67,2,863
67,3,1086
67,13,1373
68,20,404
68,21,648
68,6,845
68,11,1064
68,1,1350
68,7,1592
68,8,1812
68,4,2077
68,18,2362
68,10,2581
68,9,2801
69,13,333
69,16,574
69,12,838
69,2,1146
69,3,1366
70,2,429
70,13,578
70,16,846
70,3,1066
70,12,1260
71,18,181
71,1,334
71,4,397
72,4,209
72,18,345
72,1,413
73,13,266
73,16,573
73,2,815
73,12,1167
73,3,1409
74,9,125
74,8,193
74,6,258
75,4,268
75,18,509
75,1,773
76,12,100
76,13,172
76,2,240
76,16,302
76,3,368
77,8,335
77,6,557
77,9,803
78,17,270
78,9,533
78,8,819
78,13,1060
78,6,1326
78,14,1544
78,2,1831
78,3,2073
78,16,2315
78,12,2535
78,15,2776
79,18,122
79,4,212
79,1,279
80,8,470
80,9,650
80,6,849
81,6,101
81,9,191
81,8,261
82,12,144
82,2,250
82,16,361
82,3,469
82,13,580
83,8,450
83,6,694
83,9,937
84,8,237
84,9,325
84,6,460
85,6,458
85,8,653
85,9,917
86,13,142
86,16,273
86,2,385
86,12,494
86,3,606
87,3,110
87,13,219
87,16,286
87,12,308
87,2,374
88,13,109
88,16,176
88,3,263
88,2,329
88,12,395
89,12,398
89,3,617
89,16,859
89,13,1013
89,2,1233
90,21,357
90,6,618
90,9,816
90,11,1080
90,10,1300
90,7,1652
90,18,1828
90,20,2070
90,4,2289
90,1,2575
