parent_id,action,child_id
0,5,1
0,9,2
0,7,3
0,18,4
0,12,5
0,10,6
0,3,7
0,21,8
0,2,9
0,22,10
0,6,11
0,11,12
0,16,13
0,17,14
0,19,15
0,15,16
0,13,17
0,4,18
0,14,19
0,20,20
0,8,21
0,1,22
1,1,38
1,4,60
1,5,81
1,22,102
1,13,123
1,18,145
1,2,167
1,3,189
1,19,211
1,16,233
1,12,255
2,18,39
2,1,64
2,4,84
3,8,27
3,7,51
3,9,67
3,20,89
3,11,111
3,6,133
3,10,155
3,1,177
3,21,199
3,4,221
3,18,243
4,9,40
4,8,65
4,6,88
5,6,41
5,8,61
5,9,82
6,3,28
6,16,57
6,2,77
6,13,93
6,12,117
7,1,42
7,18,62
7,4,85
8,8,29
8,4,52
8,1,69
8,11,92
8,20,118
8,10,139
8,18,161
8,21,185
8,6,205
8,9,227
8,7,249
9,16,23
9,13,45
9,3,70
9,2,94
9,12,115
10,13,30
10,9,46
10,6,73
10,14,95
10,3,113
10,16,135
10,2,158
10,8,179
10,12,201
10,17,224
10,15,245
11,9,31
11,8,58
11,6,83
12,12,24
12,13,47
12,3,68
12,18,91
12,4,119
12,1,142
12,2,165
12,16,187
12,19,206
12,22,228
12,5,248
13,16,25
13,13,48
13,12,71
13,3,96
13,2,120
14,22,32
14,12,53
14,19,74
14,16,98
14,4,121
14,18,141
14,2,159
14,13,180
14,1,202
14,3,225
14,5,246
15,4,33
15,9,54
15,20,80
15,11,99
15,10,122
15,6,144
15,1,166
15,18,188
15,7,210
15,8,232
15,21,251
16,20,34
16,6,55
16,7,75
16,1,90
16,8,114
16,11,136
16,9,160
16,18,182
16,10,208
16,4,229
16,21,252
17,10,35
17,8,49
17,18,72
17,20,97
17,7,116
17,1,137
17,21,156
17,6,178
17,11,200
17,4,222
17,9,244
18,3,26
18,12,50
18,16,76
18,2,101
18,13,124
19,16,43
19,12,63
19,17,86
19,3,107
19,9,129
19,2,151
19,8,172
19,14,193
19,13,215
19,6,236
19,15,257
20,3,36
20,12,56
20,16,78
20,17,100
20,2,112
20,15,134
20,9,157
20,6,181
20,13,203
20,8,223
20,14,247
21,12,44
21,13,66
21,2,87
21,3,105
21,16,127
22,4,37
22,1,59
22,18,79
23,13,162
23,16,269
23,2,400
23,3,510
23,12,623
24,9,316
24,8,604
24,6,844
25,2,143
25,12,254
25,3,386
25,13,516
25,16,627
26,4,235
26,18,348
26,1,458
27,13,376
27,2,618
27,16,837
27,12,1079
27,3,1409
28,18,207
28,1,337
28,4,426
29,2,313
29,12,577
29,3,842
29,13,1105
29,16,1281
30,20,288
30,10,553
30,21,774
30,7,1016
30,18,1260
30,11,1502
30,8,1720
30,9,1984
30,4,2225
30,1,2467
30,6,2731
31,4,125
31,18,213
31,1,281
32,14,317
32,2,647
32,8,819
32,16,1128
32,15,1302
32,17,1567
32,6,1787
32,13,2029
32,3,2271
32,12,2491
32,9,2733
33,3,340
33,12,619
33,2,883
33,16,1081
33,13,1327
34,9,297
34,13,672
34,16,847
34,3,997
34,6,1240
34,12,1526
34,8,1769
34,14,2078
34,17,2320
34,2,2562
34,15,2738
35,2,266
35,16,529
35,13,772
35,3,1014
35,12,1256
36,1,315
36,18,579
36,4,845
37,12,126
37,16,191
37,2,256
37,3,300
37,13,390
38,4,368
38,18,566
38,1,810
39,8,131
39,6,219
39,9,263
40,4,132
40,1,220
40,18,264
41,9,128
41,8,195
41,6,283
42,1,110
42,4,174
42,18,262
43,3,299
43,16,674
43,13,784
43,2,1028
43,12,1268
44,9,237
44,6,347
44,8,456
45,20,183
45,1,291
45,11,357
45,10,468
45,8,578
45,4,690
45,21,799
45,7,912
45,18,1021
45,9,1132
45,6,1243
46,18,465
46,1,730
46,4,950
47,21,272
47,4,517
47,7,758
47,6,1064
47,11,1261
47,9,1479
47,20,1722
47,1,1964
47,18,2206
47,8,2448
47,10,2690
48,10,164
48,7,276
48,9,364
48,20,496
48,8,583
48,11,694
48,1,804
48,4,914
48,18,1024
48,6,1134
48,21,1244
49,16,375
49,12,617
49,13,860
49,2,1102
49,3,1366
50,6,146
50,9,259
50,8,370
51,7,265
51,10,508
51,11,751
51,8,991
51,18,1233
51,4,1475
51,20,1717
51,9,1959
51,21,2201
51,1,2443
51,6,2707
52,2,268
52,3,511
52,12,775
52,13,1062
52,16,1303
53,9,339
53,6,669
53,8,841
54,1,488
54,18,727
54,4,971
55,9,319
55,8,562
55,6,803
56,9,401
56,8,622
56,6,889
57,12,184
57,2,295
57,3,404
57,16,513
57,13,603
58,2,149
58,12,190
58,13,258
58,16,324
58,3,388
59,18,104
59,4,169
59,1,234
60,13,301
60,16,588
60,12,853
60,2,1070
60,3,1355
61,2,106
61,3,173
61,16,240
61,12,305
61,13,371
62,6,130
62,9,196
62,8,284
63,9,453
63,6,696
63,8,938
64,18,108
64,1,175
64,4,241
65,3,154
65,12,198
65,16,286
65,2,329
65,13,395
66,21,171
66,18,279
66,20,391
66,8,500
66,4,611
66,6,720
66,10,851
66,11,963
66,7,1073
66,1,1184
66,9,1250
67,1,464
67,4,707
67,18,947
68,4,427
68,1,714
68,18,956
69,1,335
69,18,599
69,4,908
70,18,204
70,4,312
70,1,423
71,6,209
71,8,320
71,9,430
72,6,463
72,9,706
72,8,948
73,9,311
73,8,642
73,6,862
74,11,363
74,4,537
74,7,755
74,6,995
74,20,1237
74,18,1478
74,1,1721
74,8,1963
74,9,2205
74,10,2447
74,21,2711
75,20,274
75,10,518
75,7,760
75,1,1019
75,11,1262
75,21,1482
75,18,1725
75,9,1968
75,8,2210
75,6,2452
75,4,2716
76,12,168
76,2,304
76,16,392
76,13,480
76,3,607
77,2,140
77,13,253
77,12,359
77,3,491
77,16,624
78,2,336
78,16,536
78,3,779
78,12,1022
78,13,1263
79,6,147
79,9,212
79,8,277
80,6,273
80,9,554
80,16,750
80,2,993
80,12,1258
80,3,1481
80,13,1724
80,17,1988
80,8,2252
80,14,2495
80,15,2714
81,5,323
81,1,655
81,18,917
81,2,1157
81,16,1399
81,13,1641
81,19,1906
81,3,2148
81,4,2390
81,22,2632
81,12,2830
82,18,150
82,4,217
82,1,261
83,9,103
83,6,170
83,8,238
84,16,153
84,3,197
84,2,285
84,12,330
84,13,396
85,12,152
85,2,218
85,3,239
85,16,306
85,13,372
86,4,321
86,16,541
86,18,806
86,22,1050
86,3,1290
86,19,1620
86,5,1839
86,13,2059
86,2,2323
86,12,2542
86,1,2741
87,12,148
87,13,260
87,16,369
87,3,478
87,2,589
88,9,109
88,6,176
88,8,242
89,2,310
89,12,552
89,6,793
89,16,1057
89,14,1321
89,13,1563
89,15,1827
89,8,2069
89,17,2333
89,9,2575
89,3,2751
90,18,385
90,1,692
90,4,909
91,9,494
91,6,736
91,8,932
92,18,358
92,12,687
92,5,930
92,22,1170
92,4,1412
92,16,1654
92,2,1851
92,1,2071
92,13,2314
92,19,2578
