parent_id,action,child_id
0,5,1
0,18,2
0,19,3
0,17,4
0,2,5
0,22,6
0,10,7
0,8,8
0,11,9
0,9,10
0,20,11
0,16,12
0,21,13
0,3,14
0,4,15
0,15,16
0,13,17
0,12,18
0,14,19
0,6,20
0,1,21
0,7,22
1,3,27
1,2,51
1,18,68
1,12,95
1,4,119
1,22,145
1,19,168
1,5,191
1,1,213
1,13,237
1,16,260
2,9,23
2,8,49
2,6,76
3,1,38
3,21,63
3,8,86
3,6,108
3,20,131
3,18,151
3,7,166
3,9,186
3,11,214
3,4,239
3,10,261
4,3,42
4,12,59
4,2,69
4,16,90
4,1,111
4,22,133
4,5,155
4,13,177
4,18,199
4,19,221
4,4,243
5,3,28
5,2,53
5,13,73
5,16,91
5,12,114
6,16,24
6,6,45
6,12,70
6,13,93
6,17,116
6,3,139
6,2,162
6,15,182
6,8,201
6,9,224
6,14,245
7,3,33
7,13,55
7,16,80
7,2,100
7,12,127
8,2,26
8,13,47
8,12,71
8,3,96
8,16,120
9,2,25
9,19,46
9,4,74
9,12,89
9,3,112
9,16,134
9,22,158
9,13,180
9,5,204
9,1,227
9,18,250
10,1,43
10,4,50
10,18,77
11,15,34
11,16,57
11,6,78
11,12,97
11,17,118
11,8,140
11,2,160
11,3,183
11,9,205
11,13,229
11,14,256
12,2,30
12,16,64
12,13,83
12,12,99
12,3,123
13,20,35
13,8,62
13,4,87
13,18,109
13,9,130
13,10,152
13,6,174
13,21,196
13,7,219
13,1,238
13,11,259
14,4,39
14,18,61
14,1,85
15,13,36
15,16,54
15,2,75
15,3,98
15,12,126
16,7,44
16,4,66
16,18,88
16,20,110
16,11,132
16,9,154
16,8,176
16,1,198
16,10,218
16,21,241
16,6,263
17,9,37
17,11,65
17,18,81
17,21,101
17,10,117
17,6,144
17,4,164
17,7,184
17,20,203
17,1,223
17,8,244
18,9,40
18,8,60
18,6,79
19,2,32
19,14,56
19,3,82
19,15,107
19,8,129
19,6,153
19,16,172
19,12,197
19,9,220
19,17,242
19,13,264
20,6,29
20,8,52
20,9,72
21,1,41
21,4,48
21,18,67
22,20,31
22,1,58
22,11,84
22,9,103
22,10,121
22,18,146
22,6,171
22,7,190
22,4,209
22,21,234
22,8,251
23,1,124
23,18,192
23,4,284
24,16,332
24,13,507
24,12,771
24,2,1014
24,3,1323
25,13,380
25,2,643
25,12,885
25,3,1173
25,16,1413
26,12,163
26,3,337
26,2,452
26,13,539
26,16,651
27,4,320
27,18,590
27,1,833
28,1,228
28,4,344
28,18,451
29,6,137
29,9,185
29,8,230
30,16,222
30,2,335
30,12,444
30,13,554
30,3,664
31,2,468
31,9,714
31,15,930
31,6,1104
31,13,1302
31,3,1547
31,12,1793
31,17,2013
31,14,2234
31,8,2478
31,16,2720
32,13,352
32,12,548
32,3,792
32,2,1098
32,16,1251
33,1,159
33,4,291
33,18,403
34,11,438
34,10,653
34,21,935
34,18,1111
34,1,1330
34,8,1611
34,7,1874
34,20,2182
34,9,2358
34,4,2666
34,6,2889
35,12,478
35,8,748
35,2,987
35,15,1224
35,14,1445
35,6,1703
35,13,1945
35,17,2184
35,9,2424
35,16,2669
35,3,2912
36,20,148
36,4,257
36,7,411
36,10,499
36,8,586
36,1,700
36,18,806
36,9,942
36,21,1052
36,11,1163
36,6,1294
37,4,487
37,18,707
37,1,949
38,4,434
38,1,656
38,18,825
39,12,150
39,2,194
39,13,269
39,3,340
39,16,408
40,4,125
40,18,211
40,1,276
41,1,94
41,4,157
41,18,225
42,1,442
42,4,706
42,18,925
43,4,102
43,18,188
43,1,258
44,10,404
44,9,715
44,21,914
44,8,1176
44,4,1371
44,6,1613
44,1,1898
44,7,2118
44,18,2382
44,11,2647
44,20,2842
45,9,485
45,8,639
45,6,883
46,7,490
46,18,665
46,9,840
46,20,1127
46,6,1434
46,21,1654
46,1,1897
46,4,2143
46,8,2361
46,10,2645
46,11,2845
47,9,193
47,10,295
47,18,401
47,7,520
47,1,608
47,21,716
47,11,827
47,6,940
47,4,1050
47,20,1161
47,8,1270
48,3,115
48,12,178
48,16,271
48,13,336
48,2,382
49,2,106
49,16,170
49,13,236
49,12,329
49,3,417
50,13,128
50,3,165
50,2,240
50,12,305
50,16,371
51,3,298
51,13,567
51,12,787
51,2,1162
51,16,1405
52,3,113
52,2,202
52,12,280
52,13,318
52,16,389
53,2,169
53,12,299
53,13,429
53,3,541
53,16,583
54,3,167
54,13,283
54,12,388
54,2,542
54,16,631
55,8,207
55,10,268
55,9,425
55,6,535
55,18,623
55,21,734
55,7,841
55,4,928
55,11,1018
55,20,1149
55,1,1263
56,2,374
56,9,593
56,8,880
56,16,1186
56,15,1384
56,14,1711
56,13,1952
56,3,2172
56,17,2414
56,6,2677
56,12,2919
57,3,300
57,13,632
57,12,846
57,16,1087
57,2,1395
58,18,402
58,4,669
58,1,952
59,6,265
59,9,531
59,8,816
60,13,105
60,3,175
60,2,231
60,16,297
60,12,368
61,6,122
61,8,217
61,9,247
62,2,369
62,13,701
62,12,943
62,16,1160
62,3,1423
63,9,350
63,7,612
63,21,913
63,10,1049
63,6,1269
63,8,1508
63,20,1754
63,1,1972
63,4,2212
63,18,2453
63,11,2695
64,13,161
64,3,270
64,16,361
64,12,488
64,2,598
65,1,290
65,3,529
65,2,795
65,12,1036
65,18,1300
65,19,1608
65,13,1873
65,4,2070
65,5,2312
65,22,2555
65,16,2819
66,13,428
66,12,670
66,16,893
66,3,1131
66,2,1392
67,8,136
67,6,206
67,9,249
68,8,381
68,9,633
68,6,897
69,3,376
69,13,619
69,16,881
69,12,1035
69,2,1343
70,8,441
70,9,684
70,6,948
71,6,233
71,8,316
71,9,423
72,1,92
72,18,156
72,4,252
73,6,138
73,20,324
73,21,409
73,9,496
73,8,624
73,11,710
73,18,820
73,1,932
73,7,1043
73,10,1152
73,4,1264
74,13,273
74,3,512
74,16,818
74,2,1061
74,12,1369
75,3,187
75,16,325
75,12,366
75,2,476
75,13,609
76,6,147
76,8,216
76,9,262
77,8,141
77,6,212
77,9,281
78,9,370
78,8,719
78,6,956
79,9,149
79,6,195
79,8,253
80,3,181
80,13,334
80,12,447
80,16,558
80,2,666
81,9,399
81,8,663
81,6,904
82,18,395
82,1,615
82,4,946
83,21,179
83,6,246
83,20,385
83,7,467
83,11,577
83,4,686
83,1,799
83,18,911
83,8,1021
83,9,1133
83,10,1241
84,13,322
84,3,579
84,4,822
84,16,1148
84,18,1412
84,1,1705
84,19,1947
84,5,2145
84,12,2388
84,2,2632
84,22,2831
85,4,104
85,18,173
85,1,235
86,2,479
86,13,718
86,3,957
86,12,1180
86,16,1444
87,16,503
87,12,681
87,2,899
87,3,1074
87,13,1313
88,8,492
88,9,737
88,6,980
89,9,294
