parent_id,action,child_id
0,15,1
0,6,17
0,16,37
0,17,65
0,2,101
0,7,145
0,3,197
0,19,257
0,9,325
0,1,401
0,11,485
0,10,577
0,4,677
0,20,785
0,22,901
1,10,2
1,20,18
1,9,61
1,18,97
1,21,134
1,11,179
1,4,232
1,8,293
1,6,362
1,7,439
1,1,524
2,16,3
2,3,20
2,13,67
2,2,102
2,12,139
3,16,4
3,12,22
3,13,72
3,3,261
3,2,298
4,12,5
4,2,24
4,13,77
4,3,495
5,6,6
6,9,7
7,18,8
8,6,9
9,6,10
10,9,11
11,18,12
12,9,13
13,18,14
14,6,15
15,6,16
16,8,19
19,13,21
21,20,23
24,2,25
24,12,68
24,3,95
25,3,26
25,2,73
25,13,99
26,1,27
26,4,78
26,18,227
27,4,28
27,18,81
27,1,471
28,12,29
29,8,30
30,12,31
31,9,32
32,4,33
33,12,34
34,6,35
35,6,36
36,8,59
37,12,38
37,13,53
38,8,39
38,6,55
39,12,40
39,13,57
40,9,41
40,6,60
41,4,42
41,1,66
42,16,43
42,2,71
43,3,44
43,13,76
44,4,45
45,12,46
46,9,47
47,4,48
48,3,49
49,4,50
50,16,51
51,3,52
52,4,54
54,12,56
56,6,58
58,8,62
59,3,63
62,13,69
63,1,64
64,18,70
69,21,74
70,6,75
74,6,79
75,8,80
81,8,82
81,6,100
82,13,83
82,2,256
83,11,84
83,1,489
84,22,85
84,3,542
85,2,86
85,13,567
86,3,87
87,1,88
88,1,89
89,18,90
90,9,91
91,4,92
92,12,93
93,6,94
94,8,96
96,2,98
98,12,224
102,13,103
102,12,118
102,2,140
102,16,169
102,3,207
103,9,104
104,18,105
105,6,106
106,8,107
107,13,108
108,18,109
109,6,110
110,9,111
111,4,112
112,16,113
113,16,114
114,12,115
115,8,116
116,13,117
117,18,738
118,6,119
118,9,135
118,8,182
119,8,120
119,6,137
119,9,186
120,12,121
120,13,669
121,6,122
122,8,123
123,13,124
124,11,125
125,16,126
126,13,127
127,18,128
128,6,129
129,6,130
130,8,131
131,3,132
132,4,133
133,16,136
136,2,511
137,9,138
137,8,177
137,6,217
138,4,157
138,1,183
138,18,221
140,13,141
140,16,164
140,12,219
140,2,745
140,3,781
141,1,142
141,21,170
141,10,242
142,18,143
142,1,175
143,8,144
143,9,199
144,12,146
146,6,147
147,9,148
148,18,149
149,9,150
150,4,151
151,13,152
152,21,153
153,21,154
154,6,155
155,6,156
156,8,166
157,12,158
157,2,188
157,13,228
157,3,541
158,6,159
158,9,215
159,9,160
159,6,223
160,4,161
161,3,162
162,18,163
163,6,165
165,9,167
166,3,173
167,1,168
168,1,171
171,4,172
