node_id,parent_id,action_from_parent,depth,visits,total_value,average_value,factor_ids,projlen
0,,,0,2000,13877.221956738418,6.938610978369209,[],0
1,0,18,1,16,96.21176089104539,6.013235055690337,[18],3
2,1,6,2,15,90.80799397576814,6.05386626505121,"[18, 6]",5
3,2,9,3,14,85.4042270604909,6.100301932892207,"[18, 6, 9]",8
4,3,18,4,13,80.23633026748743,6.172025405191341,"[18, 6, 9, 18]",11
5,4,8,5,12,75.30430359675772,6.275358633063143,"[18, 6, 9, 18, 8]",14
6,5,13,6,11,68.36592429212045,6.215084026556405,"[18, 6, 9, 18, 8, 13]",16
7,6,18,7,10,62.25454701002188,6.225454701002188,"[18, 6, 9, 18, 8, 13, 18]",19
8,7,6,8,9,57.794260583839744,6.421584509315527,"[18, 6, 9, 18, 8, 13, 18, 6]",21
9,8,8,9,8,53.33397415765761,6.666746769707201,"[18, 6, 9, 18, 8, 13, 18, 6, 8]",24
10,9,2,10,7,46.511421287271524,6.644488755324503,"[18, 6, 9, 18, 8, 13, 18, 6, 8, 2]",26
11,10,16,11,6,39.957513386482404,6.659585564413734,"[18, 6, 9, 18, 8, 13, 18, 6, 8, 2, 16]",28
12,11,13,12,5,34.41933058550431,6.883866117100863,"[18, 6, 9, 18, 8, 13, 18, 6, 8, 2, 16, 13]",30
13,12,6,13,4,28.010937542061733,7.002734385515433,"[18, 6, 9, 18, 8, 13, 18, 6, 8, 2, 16, 13, 6]",32
14,13,6,14,3,19.041742213117097,6.347247404372365,"[18, 6, 9, 18, 8, 13, 18, 6, 8, 2, 16, 13, 6, 6]",34
15,14,8,15,2,14.109715542387402,7.054857771193701,"[18, 6, 9, 18, 8, 13, 18, 6, 8, 2, 16, 13, 6, 6, 8]",36
16,15,2,16,1,7.526598015741259,7.526598015741259,"[18, 6, 9, 18, 8, 13, 18, 6, 8, 2, 16, 13, 6, 6, 8, 2]",38
17,0,7,1,1235,8844.329151095742,7.16140012234473,[7],2
18,17,8,2,52,351.61579194352305,6.7618421527600585,"[7, 8]",4
19,18,16,3,36,249.92566124243356,6.942379478956488,"[7, 8, 16]",6
20,19,16,4,25,176.76784421413925,7.07071376856557,"[7, 8, 16, 16]",8
21,20,12,5,15,108.12461418200431,7.208307612133621,"[7, 8, 16, 16, 12]",11
22,21,9,6,14,102.72084726672705,7.337203376194789,"[7, 8, 16, 16, 12, 9]",14
23,22,1,7,13,95.66598949553335,7.358922268887181,"[7, 8, 16, 16, 12, 9, 1]",16
24,23,1,8,12,88.64035491693448,7.386696243077874,"[7, 8, 16, 16, 12, 9, 1, 1]",18
25,24,4,9,11,81.6001087420382,7.4181917038216545,"[7, 8, 16, 16, 12, 9, 1, 1, 4]",20
26,25,16,10,10,74.30938084857073,7.430938084857073,"[7, 8, 16, 16, 12, 9, 1, 1, 4, 16]",22
27,26,13,11,9,65.83930234373436,7.3154780381927065,"[7, 8, 16, 16, 12, 9, 1, 1, 4, 16, 13]",24
