length,power_projlen,count,reservoir_count
40,1,2391,2391
40,3,329,329
40,4,352,352
40,5,3000,5430
40,6,580,580
40,7,3000,7943
40,8,902,902
40,9,3000,12220
40,10,2950,2950
40,11,3000,13387
40,12,3000,4027
40,13,3000,19272
40,14,3000,9734
40,15,3000,15753
40,16,3000,7088
40,17,3000,23760
40,18,3000,13255
40,19,3000,15561
40,20,3000,8906
40,21,3000,31174
40,22,3000,18366
40,23,3000,11534
40,24,3000,6867
40,25,3000,21058
40,26,3000,10259
40,27,3000,3481
40,28,1581,1581
40,29,3000,10072
40,30,3000,3479
40,31,508,508
40,32,233,233
40,33,1737,1737
40,34,322,322
40,35,37,37
40,36,13,13
40,37,197,197
40,38,44,44
40,39,1,1
40,40,3,3
40,41,6,6
40,42,4,4
40,44,2,2
40,46,2,2
40,48,1,1
40,50,1,1
