node_id,parent_id,action_from_parent,depth,visits,total_value,average_value,factor_ids,projlen
0,,,0,2000,16560.862063544122,8.28043103177206,[],0
1,0,18,1,21,141.8205549552246,6.7533597597726,[18],3
2,1,6,2,16,109.01450267400699,6.813406417125437,"[18, 6]",5
3,2,8,3,15,102.40294907279008,6.826863271519339,"[18, 6, 8]",8
4,3,16,4,14,94.84033327532084,6.774309519665775,"[18, 6, 8, 16]",10
5,4,12,5,13,87.3078223995798,6.715986338429216,"[18, 6, 8, 16, 12]",12
6,5,8,6,12,82.09449928374244,6.841208273645203,"[18, 6, 8, 16, 12, 8]",15
7,6,12,7,11,74.54740717527714,6.777037015934286,"[18, 6, 8, 16, 12, 8, 12]",18
8,7,8,8,10,67.24911949438406,6.724911949438406,"[18, 6, 8, 16, 12, 8, 12, 8]",21
9,8,2,9,9,59.95083181349099,6.661203534832333,"[18, 6, 8, 16, 12, 8, 12, 8, 2]",23
10,9,3,10,8,52.05587450884516,6.506984313605645,"[18, 6, 8, 16, 12, 8, 12, 8, 2, 3]",25
11,10,4,11,7,46.144776522008144,6.592110931715449,"[18, 6, 8, 16, 12, 8, 12, 8, 2, 3, 4]",27
12,11,13,12,6,39.77159168369743,6.628598613949571,"[18, 6, 8, 16, 12, 8, 12, 8, 2, 3, 4, 13]",29
13,12,21,13,5,33.167363419649874,6.633472683929975,"[18, 6, 8, 16, 12, 8, 12, 8, 2, 3, 4, 13, 21]",31
14,13,21,14,4,26.319386553874345,6.579846638468586,"[18, 6, 8, 16, 12, 8, 12, 8, 2, 3, 4, 13, 21, 21]",33
15,14,1,15,3,20.17724514130048,6.725748380433494,"[18, 6, 8, 16, 12, 8, 12, 8, 2, 3, 4, 13, 21, 21, 1]",35
16,15,18,16,2,12.51532625088457,6.257663125442285,"[18, 6, 8, 16, 12, 8, 12, 8, 2, 3, 4, 13, 21, 21, 1, 18]",38
17,0,14,1,1734,14759.631743552703,8.51189835268322,[14],3
18,17,13,2,16,111.30419132283163,6.956511957676977,"[14, 13]",5
19,18,6,3,15,104.46891963304722,6.964594642203148,"[14, 13, 6]",7
20,19,9,4,14,96.70218556245823,6.907298968747016,"[14, 13, 6, 9]",10
21,20,1,5,13,90.20545874319193,6.938881441783995,"[14, 13, 6, 9, 1]",12
22,21,4,6,12,82.32580672968774,6.860483894140645,"[14, 13, 6, 9, 1, 4]",15
23,22,2,7,11,75.25949161416649,6.841771964924226,"[14, 13, 6, 9, 1, 4, 2]",17
24,23,3,8,10,68.30401330360972,6.8304013303609725,"[14, 13, 6, 9, 1, 4, 2, 3]",20
25,24,4,9,9,61.46874161382532,6.829860179313925,"[14, 13, 6, 9, 1, 4, 2, 3, 4]",23
26,25,2,10,8,54.62414959837849,6.828018699797311,"[14, 13, 6, 9, 1, 4, 2, 3, 4, 2]",25
27,26,12,11,7,46.85741552778949,6.693916503969928,"[14, 13, 6, 9, 1, 4, 2, 3, 4, 2, 12]",27
28,27,9,12,6,40.36402406870639,6.727337344784399,"[14, 13, 6, 9, 1, 4, 2, 3, 4, 2, 12, 9]",30
29,28,4,13,5,31.894620413573517,6.378924082714703,"[14, 13, 6, 9, 1, 4, 2, 3, 4, 2, 12, 9, 4]",33
30,29,3,14,4,25.9835224267365,6.495880606684125,"[14, 13, 6, 9, 1, 4, 2, 3, 4, 2, 12, 9, 4, 3]",36
31,30,18,15,3,15.639969347512121,5.213323115837373,"[14, 13, 6, 9, 1, 4, 2, 3, 4, 2, 12, 9, 4, 3, 18]",39
32,31,6,16,2,10.426646231674749,5.213323115837374,"[14, 13, 6, 9, 1, 4, 2, 3, 4, 2, 12, 9, 4, 3, 18, 6]",41
33,17,15,2,30,215.65893289131338,7.1886310963771125,"[14, 15]",6
34,33,10,3,15,107.30712564128781,7.153808376085854,"[14, 15, 10]",8
35,34,16,4,14,99.77461476554679,7.126758197539056,"[14, 15, 10, 16]",10
