node_id,parent_id,action_from_parent,depth,visits,total_value,average_value,factor_ids,projlen
0,,,0,100,23039.841567460306,230.39841567460306,[],0
1,0,5,1,1,0.3,0.3,[5],3
2,0,20,1,1,0.3,0.3,[20],3
3,0,9,1,1,0.3,0.3,[9],3
4,0,12,1,1,0.3,0.3,[12],3
5,0,3,1,1,0.3,0.3,[3],3
6,0,19,1,1,0.3,0.3,[19],3
7,0,4,1,1,0.3395833333333333,0.3395833333333333,[4],3
8,0,7,1,4,1001.5812500000002,250.39531250000005,[7],2
9,0,22,1,1,0.3833333333333333,0.3833333333333333,[22],2
10,0,18,1,1,0.3,0.3,[18],3
11,0,15,1,1,0.3,0.3,[15],3
12,0,13,1,16,4006.3866071428574,250.3991629464286,[13],2
13,0,21,1,1,0.3833333333333333,0.3833333333333333,[21],2
14,0,2,1,12,3005.0502976190473,250.42085813492062,[2],2
15,0,6,1,1,0.3833333333333333,0.3833333333333333,[6],2
16,0,8,1,1,0.3395833333333333,0.3395833333333333,[8],3
17,0,16,1,4,1001.6458333333335,250.41145833333337,[16],2
18,0,14,1,1,0.3395833333333333,0.3395833333333333,[14],3
19,0,10,1,47,14019.542162698417,298.28813112124294,[10],2
20,0,1,1,1,0.3833333333333333,0.3833333333333333,[1],2
21,0,17,1,1,0.3833333333333333,0.3833333333333333,[17],2
22,0,11,1,1,0.3,0.3,[11],3
23,8,9,2,1,0.19166666666666665,0.19166666666666665,"[7, 9]",5
24,12,21,2,2,1001.1479166666667,500.57395833333334,"[13, 21]",4
25,14,3,2,1,0.19166666666666665,0.19166666666666665,"[2, 3]",5
26,17,3,2,1,0.19166666666666665,0.19166666666666665,"[16, 3]",5
27,19,13,2,20,7009.137301587302,350.4568650793651,"[10, 13]",3
28,12,20,2,1,0.18333333333333332,0.18333333333333332,"[13, 20]",5
29,19,12,2,1,0.19166666666666665,0.19166666666666665,"[10, 12]",5
30,19,16,2,12,3004.505555555556,250.37546296296298,"[10, 16]",4
31,19,2,2,12,3004.509722222222,250.37581018518517,"[10, 2]",4
32,19,3,2,1,0.19166666666666665,0.19166666666666665,"[10, 3]",5
33,12,9,2,1,0.19166666666666665,0.19166666666666665,"[13, 9]",5
34,27,21,3,2,1001.1298611111112,500.5649305555556,"[10, 13, 21]",5
35,30,16,3,1,0.25625,0.25625,"[10, 16, 16]",6
