node_id,parent_id,action_from_parent,depth,visits,total_value,average_value,factor_ids,projlen
0,,,0,500,176.05847450984828,0.3521169490196966,[],0
1,0,5,1,48,16.82625820952484,0.3505470460317675,[5],3
2,1,12,2,17,5.761829101000651,0.3389311235882736,"[5, 12]",5
3,2,6,3,15,5.043696246405702,0.3362464164270468,"[5, 12, 6]",7
4,3,9,4,14,4.688124203394949,0.33486601452821063,"[5, 12, 6, 9]",10
5,4,4,5,13,4.339498116438427,0.3338075474183405,"[5, 12, 6, 9, 4]",13
6,5,13,6,12,4.001322147446178,0.3334435122871815,"[5, 12, 6, 9, 4, 13]",15
7,6,1,7,11,3.6576650045890355,0.33251500041718507,"[5, 12, 6, 9, 4, 13, 1]",17
8,7,18,8,10,3.314007861731893,0.3314007861731893,"[5, 12, 6, 9, 4, 13, 1, 18]",20
9,8,8,9,9,2.9796745283985593,0.3310749475998399,"[5, 12, 6, 9, 4, 13, 1, 18, 8]",23
10,9,2,10,8,2.6490041987282296,0.3311255248410287,"[5, 12, 6, 9, 4, 13, 1, 18, 8, 2]",25
11,10,3,11,7,2.298639941700117,0.32837713452858813,"[5, 12, 6, 9, 4, 13, 1, 18, 8, 2, 3]",27
12,11,4,12,6,1.9679696120297878,0.327994935338298,"[5, 12, 6, 9, 4, 13, 1, 18, 8, 2, 3, 4]",29
13,12,12,13,5,1.6297936430375397,0.32595872860750796,"[5, 12, 6, 9, 4, 13, 1, 18, 8, 2, 3, 4, 12]",32
14,13,9,14,4,1.309644706867327,0.32741117671683173,"[5, 12, 6, 9, 4, 13, 1, 18, 8, 2, 3, 4, 12, 9]",35
15,14,4,15,3,0.9894957706971141,0.32983192356570473,"[5, 12, 6, 9, 4, 13, 1, 18, 8, 2, 3, 4, 12, 9, 4]",37
16,15,13,16,2,0.6624088141753749,0.33120440708768745,"[5, 12, 6, 9, 4, 13, 1, 18, 8, 2, 3, 4, 12, 9, 4, 13]",39
17,0,13,1,49,17.38327481244013,0.35476071045796187,[13],2
18,17,10,2,18,6.434394978361937,0.3574663876867743,"[13, 10]",4
19,18,2,3,15,5.342745865383412,0.35618305769222747,"[13, 10, 2]",6
20,19,16,4,14,4.957130480768027,0.3540807486262877,"[13, 10, 2, 16]",8
21,20,16,5,13,4.578786036323583,0.3522143104864295,"[13, 10, 2, 16, 16]",10
22,21,16,6,12,4.1712063753066335,0.3476005312755528,"[13, 10, 2, 16, 16, 16]",12
23,22,3,7,11,3.7989111372113955,0.3453555579283087,"[13, 10, 2, 16, 16, 16, 3]",15
24,23,18,8,10,3.4539488421294284,0.34539488421294284,"[13, 10, 2, 16, 16, 16, 3, 18]",18
25,24,6,9,9,3.0895124784930648,0.3432791642770072,"[13, 10, 2, 16, 16, 16, 3, 18, 6]",20
26,25,6,10,8,2.7450291451597315,0.34312864314496644,"[13, 10, 2, 16, 16, 16, 3, 18, 6, 6]",22
27,26,9,11,7,2.399201558952835,0.342743079850405,"[13, 10, 2, 16, 16, 16, 3, 18, 6, 6, 9]",25
28,27,18,12,6,2.056804810985355,0.3428008018308925,"[13, 10, 2, 16, 16, 16, 3, 18, 6, 6, 9, 18]",28
29,28,6,13,5,1.7224714776520216,0.34449429553040434,"[13, 10, 2, 16, 16, 16, 3, 18, 6, 6, 9, 18, 6]",30
30,29,9,14,4,1.3881381443186884,0.3470345360796721,"[13, 10, 2, 16, 16, 16, 3, 18, 6, 6, 9, 18, 6, 9]",33
31,30,18,15,3,1.0383009350163628,0.3461003116721209,"[13, 10, 2, 16, 16, 16, 3, 18, 6, 6, 9, 18, 6, 9, 18]",36
32,31,6,16,2,0.7147202898550724,0.3573601449275362,"[13, 10, 2, 16, 16, 16, 3, 18, 6, 6, 9, 18, 6, 9, 18, 6]",38
33,17,1,2,17,5.850333408499876,0.3441372593235221,"[13, 1]",4
34,33,1,3,15,5.094283094034466,0.3396188729356311,"[13, 1, 1]",6
35,1,3,2,18,6.322446171209359,0.35124700951163107,"[5, 3]",6
36,34,1,4,14,4.742498409349782,0.3387498863821273,"[13, 1, 1, 1]",8
37,0,12,1,47,16.22268955713248,0.3451636075985634,[12],3
38,37,9,2,17,5.670620080520184,0.3335658870894226,"[12, 9]",6
39,38,18,3,15,4.964650667828028,0.3309767111885352,"[12, 9, 18]",9
40,39,9,4,14,4.637563711306289,0.33125455080759203,"[12, 9, 18, 9]",12
41,40,4,5,13,4.303230377972955,0.33101772138253505,"[12, 9, 18, 9, 4]",14
42,41,3,6,12,3.9692303779729547,0.3307691981644129,"[12, 9, 18, 9, 4, 3]",17
43,42,4,7,11,3.617012359954937,0.3288193054504488,"[12, 9, 18, 9, 4, 3, 4]",20
44,43,2,8,10,3.2826790266216035,0.3282679026621603,"[12, 9, 18, 9, 4, 3, 4, 2]",22
45,44,12,9,9,2.920233243489074,0.32447036038767485,"[12, 9, 18, 9, 4, 3, 4, 2, 12]",24
46,45,9,10,8,2.577836495521594,0.32222956194019925,"[12, 9, 18, 9, 4, 3, 4, 2, 12, 9]",27
47,46,4,11,7,2.250749538999855,0.3215356484285507,"[12, 9, 18, 9, 4, 3, 4, 2, 12, 9, 4]",30
48,47,13,12,6,1.9271688938385647,0.32119481563976077,"[12, 9, 18, 9, 4, 3, 4, 2, 12, 9, 4, 13]",32
49,48,21,13,5,1.5805565481595525,0.3161113096319105,"[12, 9, 18, 9, 4, 3, 4, 2, 12, 9, 4, 13, 21]",34
50,49,18,14,4,1.254041819477382,0.3135104548693455,"[12, 9, 18, 9, 4, 3, 4, 2, 12, 9, 4, 13, 21, 18]",37
51,50,6,15,3,0.9469193704977901,0.31563979016593,"[12, 9, 18, 9, 4, 3, 4, 2, 12, 9, 4, 13, 21, 18, 6]",39
52,51,6,16,2,0.6397969215181982,0.3198984607590991,"[12, 9, 18, 9, 4, 3, 4, 2, 12, 9, 4, 13, 21, 18, 6, 6]",41
53,37,8,2,18,6.207671049994941,0.34487061388860785,"[12, 8]",6
54,53,3,3,15,5.043111936482385,0.336207462432159,"[12, 8, 3]",8
55,35,4,3,15,5.271151148584925,0.35141007657232837,"[5, 3, 4]",9
56,54,1,4,14,4.687906560138299,0.33485046858130707,"[12, 8, 3, 1]",10
57,36,4,5,13,4.385866205959951,0.3373743235353809,"[13, 1, 1, 1, 4]",10
58,55,16,4,14,4.931232100965877,0.3522308643547055,"[5, 3, 4, 16]",11
59,57,3,6,12,4.0148291689229145,0.3345690974102429,"[13, 1, 1, 1, 4, 3]",13
60,56,4,5,13,4.3434232268049655,0.3341094789849973,"[12, 8, 3, 1, 4]",12
61,58,12,5,13,4.57308924382302,0.35177609567869383,"[5, 3, 4, 16, 12]",14
62,59,18,7,11,3.651676995009871,0.33197063590998827,"[13, 1, 1, 1, 4, 3, 18]",16
63,60,2,6,12,3.9930589697768535,0.3327549141480711,"[12, 8, 3, 1, 4, 2]",14
64,61,6,6,12,4.201354835220869,0.3501129029350724,"[5, 3, 4, 16, 12, 6]",16
65,0,11,1,48,16.867990396143963,0.3514164665863326,[11],3
66,65,1,2,17,5.84160081038923,0.3436235770817194,"[11, 1]",5
67,66,4,3,15,5.146985756625789,0.34313238377505256,"[11, 1, 4]",8
68,67,3,4,14,4.798626336335934,0.3427590240239953,"[11, 1, 4, 3]",11
69,68,18,5,13,4.4396349783112425,0.34151038294701863,"[11, 1, 4, 3, 18]",14
70,69,6,6,12,4.093430216406481,0.3411191847005401,"[11, 1, 4, 3, 18, 6]",16
