parent_id,action,child_id
0,5,1
0,9,2
0,18,3
0,15,4
0,1,5
0,4,6
0,7,7
0,3,8
0,6,9
0,21,10
0,13,11
0,14,12
0,10,13
0,16,14
0,17,15
0,19,16
0,2,17
0,22,18
0,20,19
0,8,20
0,11,21
0,12,22
1,18,33
1,12,61
1,4,83
1,3,106
1,1,128
1,13,150
1,2,170
1,22,191
1,16,211
1,5,233
1,19,256
2,4,34
2,1,62
2,18,84
3,9,35
3,8,63
3,6,88
4,21,36
4,10,56
4,7,80
4,18,102
4,20,125
4,9,149
4,6,168
4,1,188
4,4,210
4,11,231
4,8,251
5,1,23
5,18,45
5,4,69
6,16,37
6,2,57
6,13,81
6,3,103
6,12,126
7,9,24
7,18,51
7,6,76
7,7,96
7,1,116
7,8,136
7,11,156
7,20,179
7,4,202
7,21,219
7,10,237
8,4,38
8,1,64
8,18,85
9,9,25
9,6,52
9,8,70
10,6,26
10,9,46
10,4,71
10,1,91
10,8,112
10,18,134
10,11,157
10,7,180
10,10,199
10,20,217
10,21,239
11,4,27
11,11,47
11,6,72
11,9,92
11,20,117
11,10,140
11,21,159
11,18,181
11,8,203
11,7,220
11,1,240
12,12,39
12,17,65
12,13,86
12,8,105
12,6,127
12,2,148
12,3,167
12,14,189
12,15,212
12,16,234
12,9,255
13,12,28
13,13,53
13,2,73
13,16,93
13,3,113
14,13,29
14,16,48
14,2,67
14,12,89
14,3,114
15,13,30
15,19,49
15,2,74
15,22,94
15,16,115
15,18,135
15,12,158
15,4,177
15,1,200
15,5,218
15,3,241
16,20,40
16,4,58
16,11,78
16,8,100
16,7,122
16,6,144
16,18,165
16,10,187
16,21,209
16,1,228
16,9,249
17,3,31
17,16,54
17,12,75
17,13,98
17,2,118
18,3,32
18,6,50
18,17,68
18,16,90
18,13,111
18,9,133
18,8,155
18,12,178
18,15,201
18,2,221
18,14,238
19,13,41
19,16,55
19,14,77
19,9,99
19,2,121
19,15,141
19,17,164
19,12,186
19,3,208
19,6,226
19,8,245
20,13,42
20,16,59
20,3,82
20,2,104
20,12,124
21,1,43
21,12,60
21,4,79
21,22,101
21,16,123
21,13,142
21,3,163
21,18,185
21,19,205
21,5,227
21,2,250
22,9,44
22,6,66
22,8,87
23,4,95
23,18,169
23,1,236
24,18,403
24,1,652
24,4,885
25,1,120
25,4,190
25,18,284
26,6,258
26,9,484
26,8,792
27,13,259
27,2,485
27,16,706
27,12,930
28,8,207
28,9,317
28,6,428
29,9,138
29,1,296
29,7,384
29,8,473
29,10,576
29,21,681
29,6,794
29,4,905
30,1,260
30,9,495
30,8,753
30,4,953
31,4,206
31,18,337
31,1,452
32,18,261
32,4,591
32,1,769
33,8,410
33,9,668
33,6,928
34,16,129
34,2,197
34,13,270
34,12,346
34,3,413
35,4,130
35,18,222
35,1,295
36,20,313
36,7,549
36,4,782
37,12,146
37,13,309
37,2,399
37,3,512
37,16,601
38,2,131
38,3,198
38,16,273
38,13,347
38,12,414
39,8,411
39,9,739
39,6,978
40,15,312
40,13,655
40,14,820
41,18,266
41,7,566
41,21,776
41,1,984
42,8,147
42,1,264
42,7,375
42,11,486
42,6,623
42,10,717
42,20,832
42,9,949
43,4,355
43,18,608
43,1,842
44,18,132
44,1,223
44,4,293
45,9,119
45,6,192
45,8,263
46,1,404
46,4,625
46,18,852
47,19,402
47,16,688
47,18,870
48,13,161
48,12,252
48,3,405
48,2,510
48,16,619
49,10,387
49,4,617
49,1,833
50,6,283
50,9,488
50,8,791
51,8,426
51,9,672
51,6,903
52,9,97
52,6,166
52,8,235
53,18,137
53,1,254
53,10,364
53,4,470
53,20,575
53,21,684
53,6,795
53,11,907
54,3,139
54,16,275
54,2,362
54,12,474
54,13,579
55,12,289
55,2,500
55,16,742
55,13,963
56,2,334
56,13,572
56,16,801
57,16,172
57,2,265
57,12,377
57,3,491
57,13,622
58,13,268
58,2,501
58,3,740
58,12,964
59,16,171
59,12,286
59,3,396
59,2,532
59,13,645
60,8,267
60,6,502
60,9,743
61,6,276
61,8,520
61,9,755
62,18,107
62,4,173
62,1,247
63,2,153
63,13,195
63,12,272
63,3,348
63,16,415
64,18,109
64,4,174
64,1,248
65,16,277
65,3,521
65,1,802
66,9,110
66,6,176
66,8,244
67,13,182
67,16,274
67,3,360
67,12,493
67,2,597
68,22,305
68,19,506
68,13,812
69,3,145
69,13,214
69,2,285
69,16,329
69,12,401
70,16,143
70,13,213
70,2,262
70,3,328
70,12,398
71,16,279
71,3,504
71,12,709
71,13,955
72,6,280
72,8,503
72,9,725
73,12,160
73,13,278
73,16,386
73,3,492
73,2,598
74,3,282
74,13,552
74,2,773
74,12,968
75,6,230
75,8,315
75,9,430
76,9,257
76,8,594
76,6,729
77,14,416
77,12,720
77,8,941
78,2,460
78,5,632
78,13,926
79,16,417
79,13,653
79,2,880
80,4,356
80,20,595
80,6,888
81,9,194
81,6,331
81,21,421
81,8,535
81,1,644
81,4,765
81,20,831
81,7,950
82,18,193
82,1,330
82,4,442
83,12,432
83,16,691
83,13,906
84,6,151
84,8,224
84,9,292
85,6,152
85,9,225
85,8,294
86,10,300
86,9,542
86,7,824
87,16,154
87,2,196
87,13,271
87,12,342
87,3,412
88,9,108
88,6,175
88,8,246
89,9,204
89,6,314
89,8,429
90,2,326
90,12,528
90,16,714
90,13,936
91,1,301
91,4,526
91,18,730
92,4,425
92,18,648
92,1,910
93,3,183
93,13,298
93,2,407
93,12,508
93,16,620
94,12,304
94,6,574
94,9,793
95,3,374
95,13,611
95,12,803
96,18,281
96,7,612
96,4,748
96,10,962
97,18,372
97,1,589
97,4,804
98,11,162
98,21,297
98,9,385
98,8,494
98,6,599
98,20,705
98,10,798
98,18,912
99,1,438
99,18,674
99,4,920
100,3,335
100,2,676
100,16,844
101,13,376
101,2,592
101,15,797
102,6,463
102,8,700
102,9,925
103,1,243
103,4,354
103,18,465
104,16,215
104,3,308
104,13,420
104,2,509
104,12,600
105,3,433
105,13,649
105,12,890
106,4,454
106,1,736
106,18,951
107,6,391
107,8,613
107,9,913
108,18,393
108,1,687
108,4,914
109,6,392
109,8,610
109,9,834
110,18,390
110,4,683
110,1,908
111,21,345
111,10,550
111,1,731
111,11,954
112,16,322
112,2,546
112,3,749
112,13,992
113,18,232
113,4,340
113,1,450
114,4,229
114,18,336
114,1,451
115,2,327
115,3,516
115,16,716
115,13,934
116,1,303
116,18,490
116,4,768
117,12,445
117,16,627
117,13,848
118,2,184
118,12,253
118,3,408
118,13,514
118,16,621
119,1,422
119,18,634
119,4,849
120,4,350
120,18,565
120,1,777
121,13,311
121,3,522
121,12,757
122,1,357
122,9,545
122,10,799
123,16,288
123,12,524
123,2,762
123,3,990
124,8,242
124,9,352
124,6,464
125,12,481
125,15,722
125,8,947
126,6,216
126,8,287
126,9,443
127,8,321
127,6,626
127,9,846
128,18,299
128,4,624
128,1,887
129,13,487
129,3,859
130,2,437
