depth,samples,mean_projlen,std_projlen
1,128,2.476562499999999,1.0
2,128,4.859374999999998,1.0
3,128,7.312499999999999,1.0
4,128,9.703125,1.0526260748923655
5,128,12.109375,1.1854390528540453
6,128,14.585937500000007,1.3133316637678074
7,128,16.906249999999993,1.3771904528085757
8,128,19.257812500000014,1.4755012160559806
9,128,21.687500000000004,1.550971247645689
10,128,24.046874999999996,1.596548319166405
11,128,26.484375000000007,1.660017906174175
12,128,28.898437500000007,1.7828573180530831
13,128,31.296874999999993,1.8670764337457686
14,128,33.68750000000001,1.8979889896214914
15,128,36.023437499999986,1.9978919746872421
16,128,38.4296875,2.0722523550076244
17,128,40.820312499999986,2.0939868681386247
18,128,43.3046875,2.1390946416245287
19,128,45.656250000000014,2.225257660034745
20,128,48.06250000000001,2.3232816865966974
21,128,50.523437499999986,2.4039496494982653
22,128,52.90625000000001,2.5205845466266172
23,128,55.328125,2.513301229631288
24,128,57.75781250000001,2.6105361736955937
25,128,60.15625,2.536155873398407
26,128,62.554687499999986,2.607706911185701
27,128,64.99218749999994,2.621822692762318
28,128,67.38281250000004,2.6326870012321453
29,128,69.84375000000004,2.672217811387399
30,128,72.28125000000001,2.714607612195358
31,128,74.67187500000006,2.7894892005526772
32,128,77.03906249999999,2.8846657955417467
33,128,79.42187500000004,2.973927054583595
34,128,81.82812500000004,3.066479617426879
35,128,84.24218749999994,3.1139667432316513
36,128,86.65625,3.16585498645715
37,128,89.07812499999996,3.249734998281412
38,128,91.44531250000003,3.2502176638195674
39,128,93.89843749999996,3.3150571395652677
40,128,96.265625,3.377751138835649
41,128,98.6640625,3.4670038433215358
42,128,101.08593750000001,3.4868196003230323
43,128,103.48437500000003,3.52266983350775
44,128,105.85937500000001,3.6213156677310456
45,128,108.17187499999994,3.661051385066109
46,128,110.484375,3.6650818276199
47,128,112.85156249999991,3.63727388560411
48,128,115.18749999999999,3.7179072938508413
49,128,117.70312500000001,3.7276565330441116
50,128,120.125,3.7855922471150167
51,128,122.59375000000003,3.8031017179619813
52,128,125.05468749999999,3.8028348185899823
53,128,127.42968750000001,3.8591002862953747
54,128,129.8046875,3.8741188355506697
