kernel_name,depth,target_factor_id,target_projlen,target_typical_projlen,target_surprise,target_surprise_z,target_periodic_distance,target_periodic_score,target_descent_score,target_mcts_value,target_breakout_value,target_kernel_match,generated_children,driver_frontier_size,paper_num_buckets,paper_bucket_arrivals,paper_bucket_kept,paper_bucket_survival_probability,paper_natural_reservoir_contains_target,paper_global_bucket_selected,paper_natural_selected,paper_step_survival_probability,paper_cumulative_log10_survival,paper_selected_frontier_size,periodic_bucket_kept,periodic_target_in_bucket,periodic_target_selected,periodic_selected_frontier_size,periodic_score_best_rank,periodic_score_worst_rank,periodic_descent_best_rank,periodic_descent_worst_rank,mcts_value_best_rank,mcts_value_worst_rank,mcts_proxy_selected_at_beam_width,breakout_value_best_rank,breakout_value_worst_rank,breakout_proxy_selected_at_beam_width,crispr_sample_size,crispr_endpoint_sample_best_rank,crispr_endpoint_sample_worst_rank,crispr_endpoint_sample_percentile,crispr_endpoint_estimated_population_rank,crispr_endpoint_island_capacity,crispr_endpoint_proxy_selected,crispr_envelope_sample_best_rank,crispr_envelope_sample_worst_rank,crispr_envelope_sample_percentile,crispr_envelope_estimated_population_rank,crispr_envelope_island_capacity,crispr_envelope_proxy_selected,crispr_collapse_sample_best_rank,crispr_collapse_sample_worst_rank,crispr_collapse_sample_percentile,crispr_collapse_estimated_population_rank,crispr_collapse_island_capacity,crispr_collapse_proxy_selected,crispr_suffix_sample_best_rank,crispr_suffix_sample_worst_rank,crispr_suffix_sample_percentile,crispr_suffix_estimated_population_rank,crispr_suffix_island_capacity,crispr_suffix_proxy_selected,crispr_sample_population_seen,paper_forced_for_continuation,driver_next_frontier_size
p5_length54,1,7,2,2.476562499999999,0.4765624999999991,0.4765624999999991,6.2,-0.42211843892394074,-2.0717187500000005,0.48134664351851764,0.013609374999999976,False,22,1,2,10,10,1.0,True,True,True,1.0,0.0,22,30,True,True,22,4,5,4,5,1,10,True,1,10,True,22,1,10,1.0,1,12500,True,1,10,1.0,1,12500,True,1,10,1.0,1,12500,True,1,10,1.0,1,12500,True,22,False,22
p5_length54,2,7,4,4.859374999999998,0.8593749999999982,0.8593749999999982,10.9,-0.07980957756897178,-3.842812500000001,0.8637089120370353,0.2275688657407402,False,164,22,3,56,56,1.0,True,True,True,1.0,0.0,164,168,True,True,164,13,16,15,18,1,56,True,13,56,True,164,1,44,1.0,1,12500,True,1,44,1.0,1,12500,True,1,56,1.0,1,12500,True,1,44,1.0,1,12500,True,164,False,164
p5_length54,3,10,6,7.312499999999999,1.3124999999999991,1.3124999999999991,38.5,-1.7059457156767293,-5.985416666666667,1.3169305555555546,0.3039097222222226,False,982,164,4,270,270,1.0,True,True,True,1.0,0.0,982,810,True,True,982,374,380,213,219,1,270,True,65,282,False,982,1,172,1.0,1,12500,True,1,172,1.0,1,12500,True,65,282,0.9348268839103869,3260,12500,True,1,218,1.0,1,12500,True,982,False,982
p5_length54,4,13,8,9.703125,1.703125,1.6179772101637804,67.75,-2.4717570092953034,-8.037886394918111,1.6223090967378544,0.2769206553718003,False,5528,982,5,1256,1256,1.0,True,True,True,1.0,0.0,5528,3000,True,True,5088,2510,2559,1125,1174,1,1256,True,295,1338,False,1000,1,113,1.0,1,12500,True,1,113,1.0,1,12500,True,66,242,0.935,3251,12500,True,1,181,1.0,1,12500,True,5528,False,5528
p5_length54,5,4,10,12.109375,2.109375,1.7794040064071623,80.75,-2.1234304428875004,-9.917797996796418,1.7837153489997548,0.24978437093716896,False,30478,5528,7,5798,3000,0.5174197999310107,True,True,True,0.5174197999310107,-0.28615695629931615,9004,3000,False,False,10257,9208,9441,4773,5006,5,5802,True,1655,6542,False,1000,1,97,1.0,1,12500,True,1,97,1.0,1,12500,True,86,251,0.915,4251,12500,True,23,175,0.978,1101,12500,True,30478,False,9004
p5_length54,6,13,12,14.585937500000007,2.585937500000007,1.968990447227344,99.75,-2.0601359187677057,-11.846754776386328,1.9734114541717886,0.3179909437131291,False,50168,9004,5,13218,3000,0.22696323195642307,True,True,True,0.22696323195642307,-0.930201449114065,9041,3000,False,False,9198,19755,19830,12147,12222,42,13259,True,2177,13810,False,1000,1,113,1.0,1,12500,True,1,113,1.0,1,12500,True,93,290,0.908,4601,12500,True,2,193,0.999,51,12500,True,50168,False,9041
p5_length54,7,4,14,16.906249999999993,2.906249999999993,2.1102745768191515,113.75,-1.8328732078132886,-13.757362711590424,2.114555992163067,0.34847759194970906,False,51023,9041,6,13714,3000,0.21875455738661223,False,True,False,0.21875455738661223,-1.5902443395237587,9219,3000,False,False,9441,17746,17891,12262,12407,220,13933,False,2577,14525,False,1000,5,95,0.996,201,12500,True,4,94,0.997,151,12500,True,85,300,0.916,4201,12500,True,32,215,0.969,1551,12500,True,51023,True,9220
p5_length54,8,2,16,19.257812500000014,3.257812500000014,2.2079361674185245,129.25,-1.7174014143372607,-15.703844416290739,2.212156581191673,0.38015286350520866,False,52324,9220,7,14278,3000,0.2101134612690853,False,True,False,0.2101134612690853,-2.267790462426672,7072,3000,False,False,10577,18390,18531,13495,13636,1073,15350,False,3588,15359,False,1000,29,116,0.972,1401,12500,True,29,116,0.972,1401,12500,True,101,328,0.9,5001,12500,True,34,216,0.967,1651,12500,True,52324,True,7073
p5_length54,9,13,17,21.687500000000004,4.6875000000000036,3.0222997409625982,133.75,-0.5571755202361084,-16.231905685074256,3.0276747409625986,0.9162734102658032,False,40393,7073,7,3787,3000,0.7921837866385001,True,True,True,0.7921837866385001,-2.368964512827836,7110,3000,True,True,10119,4698,4743,3085,3130,1111,4897,False,298,355,False,1000,94,97,0.907,4651,12500,True,94,97,0.907,4651,12500,True,125,173,0.876,6201,12500,True,174,173,0.827,8651,12500,True,40393,False,7110
p5_length54,10,20,18,24.046874999999996,6.0468749999999964,3.7874675807852847,136.75,0.5210899403839941,-16.79001620960736,3.7936996409704697,1.0901988654271368,False,42702,7110,7,4847,3000,0.6189395502372601,False,True,False,0.6189395502372601,-2.5773162778309326,9694,3000,False,False,9881,2850,2928,2759,2837,695,5541,False,209,530,False,1000,100,104,0.901,4951,12500,True,100,104,0.901,4951,12500,True,247,287,0.754,12301,12500,True,172,173,0.829,8551,12500,True,42702,True,9695
p5_length54,11,13,17,26.484375000000007,9.484375000000007,5.713417285876477,134.75,3.266132830402804,-12.355791357061761,5.722243148671089,2.13564497727801,False,57091,9695,8,65,65,1.0,True,True,True,1.0,-2.5773162778309326,9334,195,True,True,11716,11,11,1,1,6,70,True,1,2,True,1000,1,0,1.0,1,12500,True,6,5,0.995,251,12500,True,1,0,1.0,1,12500,True,56,55,0.945,2751,12500,True,57091,False,9334
p5_length54,12,20,20,28.898437500000007,8.898437500000007,4.991110286782391,154.75,1.9439680472044132,-18.149236523275473,4.998747873587946,1.116773206090531,False,55262,9334,9,2198,2198,1.0,True,True,True,1.0,-2.5773162778309326,8695,3000,True,True,11572,1704,1740,1674,1710,498,2695,False,990,2882,False,1000,37,36,0.964,1801,12500,True,37,36,0.964,1801,12500,True,1,6,1.0,1,12500,True,55,56,0.946,2701,12500,True,55262,False,8695
p5_length54,13,13,21,31.296874999999993,10.296874999999993,5.5149723995724065,151.25,3.074049484750658,-18.124244569444567,5.5231338133900705,1.3358399544554653,False,51223,8695,9,2372,2372,1.0,True,True,True,1.0,-2.5773162778309326,8703,3000,True,True,11216,342,342,447,447,332,2703,False,826,2910,False,1000,45,57,0.956,2201,12500,True,45,57,0.956,2201,12500,True,48,49,0.953,2351,12500,True,138,138,0.863,6852,12500,True,51223,False,8703
p5_length54,14,10,22,33.68750000000001,11.687500000000007,6.157833403623063,176.25,3.203295807555017,-19.550547583902752,6.166440877168037,1.827290859283505,False,51441,8703,9,1359,1359,1.0,True,True,True,1.0,-2.5773162778309326,7875,3000,True,True,11047,1541,1553,1442,1454,517,1875,False,556,589,False,1000,22,23,0.979,1051,12500,True,22,23,0.979,1051,12500,True,217,216,0.784,10801,12500,True,139,138,0.862,6902,12500,True,51441,False,7875
p5_length54,15,2,22,36.023437499999986,14.023437499999986,7.019116988142099,163.25,5.553447980593395,-16.434608172595617,7.028743724253211,2.39002324729899,False,46149,7875,9,438,438,1.0,True,True,True,1.0,-2.5773162778309326,9021,1314,True,True,11459,44,44,34,34,404,841,False,49,109,True,1000,21,20,0.98,1001,12500,True,21,20,0.98,1001,12500,True,4,4,0.997,151,12500,True,110,109,0.891,5451,12500,True,46149,False,9021
p5_length54,16,13,23,38.4296875,15.4296875,7.445853523927219,170.75,4.9979860787150505,-19.81066698803639,7.455793374911016,2.4294869407807176,False,53391,9021,10,1919,1919,1.0,True,True,True,1.0,-2.5773162778309326,7642,3000,True,True,12803,770,776,884,890,412,2330,False,356,529,False,1000,55,54,0.946,2701,12500,True,55,54,0.946,2701,12500,True,6,6,0.995,251,12500,True,144,143,0.857,7151,12500,True,53391,False,7642
p5_length54,17,4,22,40.820312499999986,18.820312499999986,8.987789172111492,170.75,6.976020304040821,-16.008311296297197,8.99917475898513,3.6118425947786523,False,45476,7642,9,167,167,1.0,True,True,True,1.0,-2.5773162778309326,8449,501,True,True,11250,93,93,43,43,60,226,True,14,25,True,1000,6,5,0.995,251,12500,True,9,8,0.992,401,12500,True,4,3,0.997,151,12500,True,317,316,0.6839999999999999,15801,12500,False,45476,False,8449
p5_length54,18,13,23,43.3046875,20.3046875,9.492187538079039,173.75,7.331906672723818,-18.73654511984937,9.503801253356817,3.4278754109545635,False,48387,8449,10,386,386,1.0,True,True,True,1.0,-2.5773162778309326,9864,1158,True,True,12171,320,322,401,403,147,532,False,311,430,False,1000,9,8,0.992,401,12500,True,9,8,0.992,401,12500,True,22,23,0.979,1051,12500,True,174,173,0.827,8651,12500,True,48387,False,9864
p5_length54,19,4,23,45.656250000000014,22.656250000000014,10.181405239897595,183.75,8.028595246414396,-18.392850011630152,10.19368143385471,3.93923133297851,False,56796,9864,10,129,129,1.0,True,True,True,1.0,-2.5773162778309326,9329,387,True,True,13791,255,257,295,297,64,192,True,93,131,False,1000,5,4,0.996,201,12500,True,3,2,0.998,101,12500,True,12,11,0.989,551,12500,True,110,109,0.891,5451,12500,True,56796,False,9329
p5_length54,20,13,24,48.06250000000001,24.062500000000007,10.357116891515815,177.75,8.88309456265807,-18.065816554242094,10.369518511886186,3.9362266652594124,False,53195,9329,11,390,390,1.0,True,True,True,1.0,-2.5773162778309326,7373,1170,True,True,12348,125,125,195,195,130,519,False,469,553,False,1000,14,13,0.987,651,12500,True,14,13,0.987,651,12500,True,87,87,0.914,4301,12500,True,92,91,0.909,4551,12500,True,53195,False,7373
