depth,projlen,support_width,typical_projlen,surprise,surprise_z,kernel_match,kernel_type
1,2,3,2.5253906250000075,0.5253906250000075,0.5253906250000075,False,
2,4,5,4.921875000000002,0.9218750000000018,0.9218750000000018,False,
3,6,7,7.300781250000005,1.3007812500000053,1.3007812500000053,False,
4,8,9,9.691406249999996,1.6914062499999964,1.621954951694799,False,
5,10,11,12.093749999999993,2.093749999999993,1.7942670550536826,False,
6,12,13,14.496093750000007,2.496093750000007,1.9117337833849928,False,
7,14,15,16.90234375,2.90234375,2.0924170927707353,False,
8,16,17,19.321289062500007,3.321289062500007,2.228006779331062,False,
9,17,18,21.735351562499975,4.735351562499975,2.9582393843565398,False,
10,18,19,24.12988281250002,6.129882812500021,3.675305796647727,False,
11,17,18,26.558593749999986,9.558593749999986,5.51193977927838,False,
12,20,21,28.936523437499986,8.936523437499986,4.891241115927452,False,
13,21,22,31.342773437499975,10.342773437499975,5.4015629812223045,False,
14,22,23,33.75878906250001,11.758789062500007,5.851277504689947,False,
15,22,23,36.16992187499997,14.169921874999972,6.773906526784168,False,
16,23,24,38.56249999999999,15.562499999999993,7.285372424914039,False,
17,22,23,40.96582031250001,18.965820312500007,8.599591636126927,False,
18,23,24,43.36230468749998,20.36230468749998,8.952221708810624,False,
19,23,24,45.77246093750005,22.77246093750005,9.674610690233713,False,
20,24,25,48.1787109375,24.1787109375,9.980215448260411,False,
21,24,25,50.57910156250002,26.57910156250002,10.71590350670879,False,
22,24,25,52.95703124999997,28.95703124999997,11.398573244083984,False,
23,25,26,55.34277343750001,30.342773437500007,11.659170001129722,False,
24,24,25,57.72070312499997,33.72070312499997,12.71232139714135,False,
25,26,27,60.139648437499964,34.139648437499964,12.65504306411284,False,
26,27,28,62.55859374999995,35.55859374999995,12.857440714208595,False,
27,28,29,64.97949218750009,36.979492187500085,13.175581337669575,False,
28,28,29,67.37109375000007,39.37109375000007,13.891817401659699,False,
29,28,29,69.75683593749989,41.756835937499886,14.520066765957976,False,
30,28,29,72.16113281249993,44.16113281249993,14.951617906764813,False,
31,29,30,74.55371093749999,45.553710937499986,15.014270464684166,False,
32,28,29,76.98437499999999,48.984374999999986,15.88017537045529,False,
33,29,30,79.39648437500001,50.396484375000014,16.119782595332094,False,
34,28,29,81.8144531249999,53.8144531249999,16.905013316544974,False,
35,27,28,84.20019531250013,57.20019531250013,17.83218133070762,False,
36,25,26,86.63574218750001,61.635742187500014,19.094554486863476,False,
37,26,27,89.05566406250003,63.05566406250003,19.18772498879064,False,
38,25,26,91.47167968749993,66.47167968749993,19.89908524824006,False,
39,26,27,93.86523437500007,67.86523437500007,20.07998273129142,False,
40,25,26,96.26269531249999,71.26269531249999,20.811911700950862,False,
41,25,26,98.68164062500004,73.68164062500004,21.159844142071744,False,
42,24,25,101.08886718749989,77.08886718749989,21.819887908357153,False,
43,23,24,103.51269531249996,80.51269531249996,22.60133751061375,False,
44,20,21,105.92480468749979,85.92480468749979,23.8759895022334,False,
45,19,20,108.32910156250004,89.32910156250004,24.365648159443985,False,
46,16,17,110.7333984375001,94.7333984375001,25.644535531192602,False,
47,14,15,113.14550781250007,99.14550781250007,26.67215131218681,False,
48,12,13,115.55664062500006,103.55664062500006,27.57031669584435,False,
49,10,11,117.9560546874999,107.9560546874999,28.476165685246627,False,
50,8,9,120.33398437499999,112.33398437499999,29.355960923880726,False,
51,6,7,122.73730468749997,116.73730468749997,30.344482608189928,False,
52,4,5,125.12011718749996,121.12011718749996,31.2270965744766,False,
53,2,3,127.49511718749993,125.49511718749993,31.96717219634764,False,
54,0,1,129.908203125,129.908203125,32.704249057743844,True,delta
