prime,word_index,kernel_length,prefix_length,precursor_projlen,precursor_identity_defect,power,power_projlen,power_identity_defect,kernel_word_digest,precursor_word_digest,sources,precursor_factor_ids,kernel_factor_ids
3,1,24,8,16,41,3,1,0,85ab258e20c81983a2636860afa35ac5d8829ef3,ac195978000b03accf6d7421ff6d891eb41aab58,burau-experiments/src/kernel_db.json,2 13 6 8 13 11 13 10,2 13 6 8 13 11 13 10 2 13 6 8 13 11 13 10 2 13 6 8 13 11 13 10
3,1,24,16,16,49,3,1,0,85ab258e20c81983a2636860afa35ac5d8829ef3,0e70760f0cca6522cc4ecdafd6df2e64d753c19f,burau-experiments/src/kernel_db.json,2 13 6 8 13 11 13 10 2 13 6 8 13 11 13 10,2 13 6 8 13 11 13 10 2 13 6 8 13 11 13 10 2 13 6 8 13 11 13 10
3,2,24,8,16,39,3,1,0,126c6fb1578321a46df9cb318b899ef49d5ecd59,f51fa4fe925e080a3de5d60eafb864196f1b36c5,burau-experiments/src/kernel_db.json,2 13 1 4 13 20 13 10,2 13 1 4 13 20 13 10 2 13 1 4 13 20 13 10 2 13 1 4 13 20 13 10
3,2,24,16,16,52,3,1,0,126c6fb1578321a46df9cb318b899ef49d5ecd59,2f7f263b1ff6b58e385a3265e97ad5597e2a8cfd,burau-experiments/src/kernel_db.json,2 13 1 4 13 20 13 10 2 13 1 4 13 20 13 10,2 13 1 4 13 20 13 10 2 13 1 4 13 20 13 10 2 13 1 4 13 20 13 10
3,5,24,2,5,9,3,1,0,db861f05a2083a9b24df039b3639c969cef10096,3a1651f571d3519a1b701fe4c90b4b3030389a42,burau-experiments/src/kernel_db.json,13 1,13 1 4 13 20 13 10 2 13 1 4 13 20 13 10 2 13 1 4 13 20 13 10 2
3,5,24,8,14,37,3,1,0,db861f05a2083a9b24df039b3639c969cef10096,5ae293995f43b29f8a42f1098019107b21b311d7,burau-experiments/src/kernel_db.json,13 1 4 13 20 13 10 2,13 1 4 13 20 13 10 2 13 1 4 13 20 13 10 2 13 1 4 13 20 13 10 2
3,5,24,16,14,47,3,1,0,db861f05a2083a9b24df039b3639c969cef10096,0afa1b9c85d037e57782016944b5848b4cf13e8a,burau-experiments/src/kernel_db.json,13 1 4 13 20 13 10 2 13 1 4 13 20 13 10 2,13 1 4 13 20 13 10 2 13 1 4 13 20 13 10 2 13 1 4 13 20 13 10 2
3,6,24,2,5,9,3,1,0,f0d85bd1e71b8446f27333deb8ef1112d23607b7,a048967fe1d940697e5e486dd26a401b88c5aca0,burau-experiments/src/kernel_db.json,13 6,13 6 8 13 11 13 10 2 13 6 8 13 11 13 10 2 13 6 8 13 11 13 10 2
3,6,24,8,14,39,3,1,0,f0d85bd1e71b8446f27333deb8ef1112d23607b7,09f30e4f56bb6d6ee25b8d0055d9bd37ea04f631,burau-experiments/src/kernel_db.json,13 6 8 13 11 13 10 2,13 6 8 13 11 13 10 2 13 6 8 13 11 13 10 2 13 6 8 13 11 13 10 2
3,6,24,16,14,51,3,1,0,f0d85bd1e71b8446f27333deb8ef1112d23607b7,fffab7ab2f8951f8c998fd8866c953095a86c227,burau-experiments/src/kernel_db.json,13 6 8 13 11 13 10 2 13 6 8 13 11 13 10 2,13 6 8 13 11 13 10 2 13 6 8 13 11 13 10 2 13 6 8 13 11 13 10 2
