prime,word_index,kernel_length,prefix_length,precursor_projlen,precursor_identity_defect,power,power_projlen,power_identity_defect,source_class,sources,precursor_factor_ids,kernel_factor_ids
5,1,54,29,29,97,5,1,0,CRISPR,braidmod/figure_data/search/kernel_hits_len60.json:kernel_hits[3]|braids-summer-research/results/crispr_results/crispr_p5_n4_seed1 (corrupted)/kernel_hits.json[0]|burau-experiments/braidmod/figure_data/search/kernel_hits_len60.json:kernel_hits[3],7 7 10 13 4 13 4 2 13 20 13 20 13 10 2 13 4 13 4 13 7 21 20 13 20 13 10 16 16,7 7 10 13 4 13 4 2 13 20 13 20 13 10 2 13 4 13 4 13 7 21 20 13 20 13 10 16 16 2 13 4 13 4 13 21 20 13 20 13 21 10 13 4 13 4 2 16 13 11 13 11 13 21
5,2,54,29,29,98,5,1,0,braidmod_len60,braidmod/figure_data/search/kernel_hits_len60.json:kernel_hits[2]|burau-experiments/braidmod/figure_data/search/kernel_hits_len60.json:kernel_hits[2],7 7 10 13 8 13 8 2 13 11 13 11 13 10 2 13 8 13 8 13 7 21 11 13 11 13 10 16 16,7 7 10 13 8 13 8 2 13 11 13 11 13 10 2 13 8 13 8 13 7 21 11 13 11 13 10 16 16 2 13 8 13 8 13 21 11 13 11 13 21 10 13 8 13 8 2 16 13 20 13 20 13 21
5,3,54,13,23,82,5,1,0,braidmod_len60,braidmod/figure_data/search/kernel_hits_len60.json:kernel_hits[1]|burau-experiments/braidmod/figure_data/search/kernel_hits_len60.json:kernel_hits[1],7 10 13 8 13 8 2 13 11 13 11 13 10,7 10 13 8 13 8 2 13 11 13 11 13 10 2 13 8 13 8 13 7 21 11 13 11 13 10 16 16 2 13 8 13 8 13 21 11 13 11 13 21 10 13 8 13 8 2 16 13 20 13 20 13 21 7
5,3,54,40,28,83,5,1,0,braidmod_len60,braidmod/figure_data/search/kernel_hits_len60.json:kernel_hits[1]|burau-experiments/braidmod/figure_data/search/kernel_hits_len60.json:kernel_hits[1],7 10 13 8 13 8 2 13 11 13 11 13 10 2 13 8 13 8 13 7 21 11 13 11 13 10 16 16 2 13 8 13 8 13 21 11 13 11 13 21,7 10 13 8 13 8 2 13 11 13 11 13 10 2 13 8 13 8 13 7 21 11 13 11 13 10 16 16 2 13 8 13 8 13 21 11 13 11 13 21 10 13 8 13 8 2 16 13 20 13 20 13 21 7
5,4,54,27,29,101,5,1,0,braidmod_len60,braidmod/figure_data/search/kernel_hits_len60.json:kernel_hits[4]|burau-experiments/braidmod/figure_data/search/kernel_hits_len60.json:kernel_hits[4],16 13 20 13 20 13 21 10 13 4 13 4 13 21 20 13 20 13 10 16 2 13 8 13 8 13 7,16 13 20 13 20 13 21 10 13 4 13 4 13 21 20 13 20 13 10 16 2 13 8 13 8 13 7 7 21 11 13 11 13 10 2 13 8 13 8 2 13 11 13 11 13 21 7 10 13 8 13 8 2 16
5,4,54,40,28,83,5,1,0,braidmod_len60,braidmod/figure_data/search/kernel_hits_len60.json:kernel_hits[4]|burau-experiments/braidmod/figure_data/search/kernel_hits_len60.json:kernel_hits[4],16 13 20 13 20 13 21 10 13 4 13 4 13 21 20 13 20 13 10 16 2 13 8 13 8 13 7 7 21 11 13 11 13 10 2 13 8 13 8 2,16 13 20 13 20 13 21 10 13 4 13 4 13 21 20 13 20 13 10 16 2 13 8 13 8 13 7 7 21 11 13 11 13 10 2 13 8 13 8 2 13 11 13 11 13 21 7 10 13 8 13 8 2 16
5,6,55,40,27,94,5,1,0,paper_bank,braids-summer-research/results/braid_diffusion_repair/p5_paper_repair_search_seed1/candidates.jsonl:1|braids-summer-research/results/braid_diffusion_repair/p5_paper_repair_search_seed1/summary.json[0]|braids-summer-research/results/paper_exact_search/kernel_bank/all_paper_kernels.jsonl:138|braids-summer-research/results/paper_exact_search/kernel_bank/p5_paper_kernels.jsonl:1,21 7 10 13 4 13 4 2 13 20 13 20 13 10 2 13 4 13 4 13 7 21 20 13 20 13 10 16 16 2 13 4 13 4 13 21 20 13 20 13,21 7 10 13 4 13 4 2 13 20 13 20 13 10 2 13 4 13 4 13 7 21 20 13 20 13 10 16 16 2 13 4 13 4 13 21 20 13 20 13 21 10 13 4 13 4 2 16 13 11 13 11 13 21 10
5,7,55,40,27,93,5,1,0,braidmod_len60,braidmod/figure_data/search/kernel_hits_len60.json:kernel_hits[5]|burau-experiments/braidmod/figure_data/search/kernel_hits_len60.json:kernel_hits[5]|burau-experiments/src/kernel_db.json,21 7 10 13 8 13 8 2 13 11 13 11 13 10 2 13 8 13 8 13 7 21 11 13 11 13 10 16 16 2 13 8 13 8 13 21 11 13 11 13,21 7 10 13 8 13 8 2 13 11 13 11 13 10 2 13 8 13 8 13 7 21 11 13 11 13 10 16 16 2 13 8 13 8 13 21 11 13 11 13 21 10 13 8 13 8 2 16 13 20 13 20 13 21 10
5,8,60,12,20,68,5,1,0,braidmod_len60,braidmod/figure_data/search/kernel_hits_len60.json:kernel_hits[6]|burau-experiments/braidmod/figure_data/search/kernel_hits_len60.json:kernel_hits[6],20 13 10 2 13 4 13 4 13 21 20 13,20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13
5,8,60,24,25,96,5,1,0,braidmod_len60,braidmod/figure_data/search/kernel_hits_len60.json:kernel_hits[6]|burau-experiments/braidmod/figure_data/search/kernel_hits_len60.json:kernel_hits[6],20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13,20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13
5,8,60,36,25,91,5,1,0,braidmod_len60,braidmod/figure_data/search/kernel_hits_len60.json:kernel_hits[6]|burau-experiments/braidmod/figure_data/search/kernel_hits_len60.json:kernel_hits[6],20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13,20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13
5,8,60,48,20,73,5,1,0,braidmod_len60,braidmod/figure_data/search/kernel_hits_len60.json:kernel_hits[6]|burau-experiments/braidmod/figure_data/search/kernel_hits_len60.json:kernel_hits[6],20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13,20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13 20 13 10 2 13 4 13 4 13 21 20 13
