parent_id,action,child_id
0,5,1
0,13,17
0,12,37
0,11,65
0,1,101
0,2,145
0,19,197
0,4,257
0,7,325
0,20,401
0,16,485
1,12,2
1,3,35
1,18,297
2,6,3
2,8,243
3,9,4
4,4,5
5,13,6
6,1,7
7,18,8
8,8,9
9,2,10
10,3,11
11,4,12
12,12,13
13,9,14
14,4,15
15,13,16
16,11,229
17,10,18
17,1,33
17,11,253
18,2,19
18,12,233
19,16,20
20,16,21
21,16,22
22,3,23
23,18,24
24,6,25
25,6,26
26,9,27
27,18,28
28,6,29
29,9,30
30,18,31
31,6,32
32,6,187
33,1,34
33,18,239
34,1,36
35,4,55
35,1,236
36,4,57
37,9,38
37,8,53
37,6,300
38,18,39
38,4,248
39,9,40
40,4,41
41,3,42
42,4,43
43,2,44
44,12,45
45,9,46
46,4,47
47,13,48
48,21,49
49,18,50
50,6,51
51,6,52
52,9,234
53,3,54
53,16,241
54,1,56
55,16,58
56,4,60
57,3,59
58,12,61
59,18,62
60,2,63
61,6,64
62,9,87
63,3,88
64,9,89
65,1,66
65,22,81
65,18,250
66,4,67
66,1,238
67,3,68
68,18,69
69,6,70
70,8,71
71,16,72
72,13,73
73,7,74
74,9,75
75,1,76
76,4,77
77,16,78
78,3,79
79,1,80
80,1,193
81,9,82
81,17,232
82,18,83
83,9,84
84,4,85
85,13,86
86,18,90
87,1,91
88,4,92
89,1,93
90,6,94
91,18,95
92,3,96
93,4,97
94,8,98
95,8,99
96,18,126
97,2,100
98,16,127
99,2,130
100,2,131
101,18,102
101,4,117
101,1,296
102,8,103
102,9,235
103,16,104
104,13,105
105,20,106
106,8,107
107,3,108
108,4,109
109,12,110
110,6,111
111,8,112
112,16,113
113,12,114
114,9,115
115,4,116
116,16,190
117,3,118
117,2,242
118,18,119
119,6,120
120,8,121
121,3,122
122,1,123
123,4,124
124,16,125
125,16,128
126,9,129
127,12,132
128,16,133
129,1,135
130,3,136
131,13,134
132,6,137
133,13,139
134,21,138
135,18,140
136,1,141
137,9,142
138,20,144
139,20,143
140,8,175
141,1,176
142,4,177
143,17,178
144,17,180
145,16,146
145,13,161
145,3,251
146,13,147
146,2,237
147,9,148
148,4,149
149,13,150
150,4,151
151,12,152
152,9,153
153,1,154
154,18,155
155,9,156
156,4,157
157,3,158
158,4,159
159,16,160
160,2,192
161,6,162
161,18,230
162,6,163
163,6,164
164,6,165
165,8,166
166,13,167
167,11,168
168,12,169
169,9,170
170,18,171
171,6,172
172,8,173
173,3,174
174,18,179
175,3,182
176,18,181
177,13,183
178,19,184
179,6,186
180,2,185
181,8,194
182,18,188
183,11,189
184,1,196
185,12,191
188,9,195
197,18,198
197,4,213
197,10,301
198,6,199
198,9,247
199,6,200
200,9,201
201,18,202
202,6,203
203,6,204
204,6,205
205,6,206
206,9,207
207,18,208
208,9,209
209,18,210
210,6,211
211,6,212
212,8,231
213,13,214
213,3,240
214,9,215
215,18,216
216,6,217
217,8,218
218,16,219
219,16,220
220,3,221
221,1,222
222,1,223
223,18,224
224,6,225
225,9,226
226,1,227
227,18,228
230,9,244
232,16,245
233,6,246
235,18,249
236,1,252
240,4,254
241,16,255
250,6,256
251,18,295
253,4,298
256,9,303
257,16,258
257,13,273
257,12,293
258,3,259
258,2,291
259,4,260
260,13,261
261,21,262
262,10,263
263,3,264
264,1,265
265,1,266
266,1,267
267,18,268
268,6,269
269,9,270
270,4,271
271,13,272
272,18,289
273,1,274
273,9,290
274,1,275
275,1,276
276,18,277
277,9,278
278,18,279
279,8,280
280,3,281
281,4,282
282,13,283
283,11,284
284,19,285
285,10,286
286,16,287
287,2,288
290,18,292
293,8,294
294,3,299
295,6,302
296,1,305
297,6,304
298,3,306
299,18,307
300,8,309
301,16,308
302,6,310
303,1,311
304,6,313
305,4,314
306,4,312
307,6,316
308,12,315
309,2,317
310,6,318
311,1,321
312,16,319
313,8,320
314,16,322
315,8,323
316,6,367
317,12,324
318,6,370
319,12,369
320,2,371
321,18,372
322,16,373
323,16,374
324,8,375
325,4,326
325,20,341
325,10,361
326,12,327
326,13,359
327,6,328
328,8,329
329,3,330
330,4,331
331,13,332
332,21,333
333,9,334
334,4,335
335,13,336
336,6,337
337,6,338
338,6,339
339,8,340
340,16,357
341,12,342
341,16,358
342,8,343
343,3,344
344,1,345
345,1,346
346,1,347
347,4,348
348,3,349
349,4,350
350,2,351
351,16,352
352,2,353
353,16,354
354,2,355
355,3,356
358,16,360
361,2,362
362,12,363
363,9,364
364,1,365
365,4,366
366,2,368
367,8,377
368,13,376
369,9,379
370,6,378
371,13,380
372,8,382
373,16,381
374,2,383
375,2,385
376,18,384
377,12,386
378,9,387
379,18,388
380,7,389
381,12,390
382,2,391
383,12,392
384,6,393
385,13,394
386,8,396
387,1,398
388,6,397
389,20,395
390,8,399
391,16,400
392,9,447
393,8,449
394,11,450
395,12,451
396,3,453
397,8,452
398,18,454
399,12,455
400,3,457
401,15,402
401,16,417
401,3,437
402,9,403
402,7,435
403,18,404
404,6,405
405,9,406
406,18,407
407,6,408
408,6,409
409,6,410
410,8,411
411,3,412
412,4,413
413,2,414
414,16,415
415,13,416
416,18,433
417,16,418
417,13,434
418,16,419
419,16,420
420,12,421
421,6,422
422,8,423
423,16,424
424,13,425
425,6,426
426,6,427
427,6,428
428,6,429
429,8,430
430,2,431
431,13,432
434,21,436
437,4,438
438,12,439
439,8,440
440,16,441
441,12,442
442,9,443
443,4,444
444,13,445
445,21,446
446,11,448
447,4,458
448,12,456
449,13,460
450,19,459
451,9,461
452,13,462
453,18,463
454,6,464
455,9,466
456,9,465
457,18,467
458,3,468
459,11,471
460,9,469
461,1,470
462,20,472
463,9,473
464,9,475
465,4,474
466,4,478
467,6,477
468,1,476
469,4,480
470,4,479
471,13,482
472,9,481
473,1,483
474,12,484
485,2,486
486,16,487
487,16,488
488,3,489
489,1,490
490,1,491
491,1,492
492,18,493
493,6,494
494,6,495
495,8,496
496,3,497
497,1,498
498,1,499
499,18,500
