node_id,parent_id,action_from_parent,depth,visits,total_value,average_value,factor_ids,projlen
0,,,0,1000,89369.84426926616,89.36984426926617,[],0
1,0,15,1,655,55746.55237426157,85.1092402660482,[15],3
2,1,10,2,632,54531.79614048394,86.28448756405686,"[15, 10]",5
3,2,16,3,403,34185.828900823835,84.82835955539413,"[15, 10, 16]",7
4,3,16,4,88,7513.261633418406,85.37797310702734,"[15, 10, 16, 16]",9
5,4,12,5,15,1320.999854423358,88.0666569615572,"[15, 10, 16, 16, 12]",12
6,5,6,6,14,1293.949361509719,92.42495439355136,"[15, 10, 16, 16, 12, 6]",14
7,6,9,7,13,1267.4093868934767,97.49302976103667,"[15, 10, 16, 16, 12, 6, 9]",17
8,7,18,8,12,1239.8483756824407,103.32069797353672,"[15, 10, 16, 16, 12, 6, 9, 18]",20
9,8,6,9,11,1214.3294376609924,110.3935852419084,"[15, 10, 16, 16, 12, 6, 9, 18, 6]",22
10,9,6,10,10,183.97207772761556,18.397207772761554,"[15, 10, 16, 16, 12, 6, 9, 18, 6, 6]",24
11,10,9,11,9,158.45313970616718,17.605904411796352,"[15, 10, 16, 16, 12, 6, 9, 18, 6, 6, 9]",27
12,11,18,12,8,131.65790594122655,16.457238242653318,"[15, 10, 16, 16, 12, 6, 9, 18, 6, 6, 9, 18]",30
13,12,9,13,7,108.6915594067627,15.52736562953753,"[15, 10, 16, 16, 12, 6, 9, 18, 6, 6, 9, 18, 9]",33
14,13,18,14,6,85.72521287229887,14.287535478716478,"[15, 10, 16, 16, 12, 6, 9, 18, 6, 6, 9, 18, 9, 18]",36
15,14,6,15,5,65.0561986761211,13.011239735224219,"[15, 10, 16, 16, 12, 6, 9, 18, 6, 6, 9, 18, 9, 18, 6]",38
16,15,6,16,4,57.15014191486592,14.28753547871648,"[15, 10, 16, 16, 12, 6, 9, 18, 6, 6, 9, 18, 9, 18, 6, 6]",40
17,0,6,1,1,5.0982061255722115,5.0982061255722115,[6],2
18,1,20,2,1,25.518938021448363,25.518938021448363,"[15, 20]",6
