node_id,parent_id,action_from_parent,depth,visits,total_value,average_value,factor_ids,projlen
0,,,0,2000,14224.09263672187,7.112046318360935,[],0
1,0,3,1,72,440.42179242663383,6.116969339258803,[3],3
2,1,4,2,54,339.04311272888185,6.27857616164596,"[3, 4]",6
3,2,16,3,15,90.34646971635364,6.023097981090243,"[3, 4, 16]",8
4,3,3,4,14,84.34375594897148,6.024553996355105,"[3, 4, 16, 3]",10
5,4,4,5,13,78.57104797866266,6.0439267675894355,"[3, 4, 16, 3, 4]",12
6,5,16,6,12,70.26827624054724,5.85568968671227,"[3, 4, 16, 3, 4, 16]",14
7,6,2,7,11,64.26556247316509,5.842323861196826,"[3, 4, 16, 3, 4, 16, 2]",16
8,7,3,8,10,56.34704492064833,5.634704492064833,"[3, 4, 16, 3, 4, 16, 2, 3]",19
9,8,4,9,9,51.49436013863281,5.721595570959201,"[3, 4, 16, 3, 4, 16, 2, 3, 4]",22
10,9,16,10,8,45.031634777104,5.628954347138,"[3, 4, 16, 3, 4, 16, 2, 3, 4, 16]",24
11,10,3,11,7,39.028921009721834,5.575560144245976,"[3, 4, 16, 3, 4, 16, 2, 3, 4, 16, 3]",26
12,11,18,12,6,32.10618405404637,5.351030675674395,"[3, 4, 16, 3, 4, 16, 2, 3, 4, 16, 3, 18]",29
13,12,8,13,5,27.713510866177508,5.542702173235502,"[3, 4, 16, 3, 4, 16, 2, 3, 4, 16, 3, 18, 8]",32
14,13,3,14,4,22.63082028708866,5.657705071772165,"[3, 4, 16, 3, 4, 16, 2, 3, 4, 16, 3, 18, 8, 3]",34
15,14,1,15,3,16.16809492555985,5.389364975186616,"[3, 4, 16, 3, 4, 16, 2, 3, 4, 16, 3, 18, 8, 3, 1]",36
16,15,1,16,2,10.625392752324348,5.312696376162174,"[3, 4, 16, 3, 4, 16, 2, 3, 4, 16, 3, 18, 8, 3, 1, 1]",38
17,0,16,1,14,78.54746332890187,5.610533094921562,[16],2
18,17,12,2,13,72.08473796737306,5.544979843644081,"[16, 12]",5
19,18,6,3,12,66.7720415912109,5.564336799267575,"[16, 12, 6]",7
20,19,6,4,11,61.45934521504871,5.587213201368065,"[16, 12, 6, 6]",9
21,20,8,5,10,56.146648838886534,5.614664883888653,"[16, 12, 6, 6, 8]",12
22,21,16,6,9,50.14393507150437,5.571548341278263,"[16, 12, 6, 6, 8, 16]",14
23,22,2,7,8,42.73157680637072,5.34144710079634,"[16, 12, 6, 6, 8, 16, 2]",16
24,23,16,8,7,36.728863038988564,5.246980434141223,"[16, 12, 6, 6, 8, 16, 2, 16]",18
25,24,3,9,6,31.186160865753067,5.197693477625511,"[16, 12, 6, 6, 8, 16, 2, 16, 3]",20
26,25,1,10,5,25.643458692517562,5.1286917385035125,"[16, 12, 6, 6, 8, 16, 2, 16, 3, 1]",22
27,1,18,2,5,26.333476083737544,5.266695216747509,"[3, 18]",6
28,27,9,3,4,19.87075072220874,4.967687680552185,"[3, 18, 9]",9
29,26,18,11,4,19.64074492513541,4.910186231283853,"[16, 12, 6, 6, 8, 16, 2, 16, 3, 1, 18]",25
30,28,18,4,3,15.018065940193218,5.006021980064406,"[3, 18, 9, 18]",12
31,30,9,5,2,9.475363766957715,4.737681883478857,"[3, 18, 9, 18, 9]",15
32,29,9,12,3,14.78806014311989,4.929353381039964,"[16, 12, 6, 6, 8, 16, 2, 16, 3, 1, 18, 9]",28
33,32,18,13,2,8.785346375737735,4.392673187868867,"[16, 12, 6, 6, 8, 16, 2, 16, 3, 1, 18, 9, 18]",31
34,16,1,17,1,5.0826905790888475,5.0826905790888475,"[3, 4, 16, 3, 4, 16, 2, 3, 4, 16, 3, 18, 8, 3, 1, 1, 1]",40
35,2,2,3,33,214.95080866365706,6.513660868595668,"[3, 4, 2]",8
36,35,13,4,21,139.22653897882796,6.6298351894679985,"[3, 4, 2, 13]",10
37,0,9,1,10,56.80705651479498,5.680705651479498,[9],3
38,37,18,2,9,51.4943601386328,5.7215955709592,"[9, 18]",6
39,38,6,3,8,46.41166955954395,5.801458694942994,"[9, 18, 6]",8
40,39,9,4,7,41.32897898045511,5.90413985435073,"[9, 18, 6, 9]",11
41,36,18,5,15,100.88058868849023,6.725372579232682,"[3, 4, 2, 13, 18]",13
42,41,8,6,14,96.0279039064747,6.859135993319621,"[3, 4, 2, 13, 18, 8]",16
43,42,13,7,13,90.4852017332392,6.960400133326091,"[3, 4, 2, 13, 18, 8, 13]",18
44,43,21,8,12,84.0224763717104,7.001873030975866,"[3, 4, 2, 13, 18, 8, 13, 21]",20
45,44,11,9,11,74.79968144530167,6.79997104048197,"[3, 4, 2, 13, 18, 8, 13, 21, 11]",23
46,45,12,10,10,67.41693289547955,6.741693289547955,"[3, 4, 2, 13, 18, 8, 13, 21, 11, 12]",24
47,46,6,11,9,57.2741147807775,6.3637905311975,"[3, 4, 2, 13, 18, 8, 13, 21, 11, 12, 6]",26
48,47,9,12,8,49.86175651564385,6.232719564455481,"[3, 4, 2, 13, 18, 8, 13, 21, 11, 12, 6, 9]",29
49,48,4,13,7,45.46908332777498,6.495583332539283,"[3, 4, 2, 13, 18, 8, 13, 21, 11, 12, 6, 9, 4]",32
50,49,2,14,6,38.08633477795287,6.347722462992145,"[3, 4, 2, 13, 18, 8, 13, 21, 11, 12, 6, 9, 4, 2]",34
51,50,3,15,5,31.16359782227741,6.232719564455482,"[3, 4, 2, 13, 18, 8, 13, 21, 11, 12, 6, 9, 4, 2, 3]",37
52,51,4,16,4,27.230936228555194,6.8077340571387985,"[3, 4, 2, 13, 18, 8, 13, 21, 11, 12, 6, 9, 4, 2, 3, 4]",40
53,52,2,17,3,20.76821086702639,6.922736955675464,"[3, 4, 2, 13, 18, 8, 13, 21, 11, 12, 6, 9, 4, 2, 3, 4, 2]",42
54,1,1,2,12,69.73250723785259,5.811042269821049,"[3, 1]",5
55,54,4,3,11,64.41981086169044,5.856346441971858,"[3, 1, 4]",8
56,55,16,4,10,57.49707390601496,5.749707390601496,"[3, 1, 4, 16]",10
57,56,3,5,9,51.49436013863281,5.721595570959201,"[3, 1, 4, 16, 3]",12
58,57,1,6,8,44.341617385884014,5.542702173235502,"[3, 1, 4, 16, 3, 1]",14
59,58,4,7,7,36.498857241915246,5.2141224631307495,"[3, 1, 4, 16, 3, 1, 4]",16
60,59,2,8,6,30.496143474533085,5.0826905790888475,"[3, 1, 4, 16, 3, 1, 4, 2]",18
61,60,12,9,5,24.033418113004274,4.806683622600855,"[3, 1, 4, 16, 3, 1, 4, 2, 12]",21
62,61,6,10,4,19.180733330988758,4.7951833327471896,"[3, 1, 4, 16, 3, 1, 4, 2, 12, 6]",23
63,62,6,11,3,14.328048548973236,4.7760161829910786,"[3, 1, 4, 16, 3, 1, 4, 2, 12, 6, 6]",25
64,63,9,12,2,9.475363766957715,4.737681883478857,"[3, 1, 4, 16, 3, 1, 4, 2, 12, 6, 6, 9]",28
65,0,19,1,54,326.32303678589165,6.043019199738734,[19],3
66,65,11,2,34,209.59694329256396,6.164615979193058,"[19, 11]",6
67,66,22,3,19,118.28196041173332,6.225366337459649,"[19, 11, 22]",8
68,67,12,4,15,95.42113432757134,6.361408955171423,"[19, 11, 22, 12]",10
69,68,8,5,14,90.33844374848248,6.452745982034463,"[19, 11, 22, 12, 8]",13
70,69,3,6,13,82.16684655227417,6.320526657867243,"[19, 11, 22, 12, 8, 3]",15
71,70,4,7,12,73.63406901708541,6.13617241809045,"[19, 11, 22, 12, 8, 3, 4]",17
72,71,2,8,11,63.69091431503623,5.790083119548748,"[19, 11, 22, 12, 8, 3, 4, 2]",19
73,72,12,9,10,54.506998544061716,5.450699854406172,"[19, 11, 22, 12, 8, 3, 4, 2, 12]",22
74,73,9,10,9,49.88431955911952,5.542702173235502,"[19, 11, 22, 12, 8, 3, 4, 2, 12, 9]",25
75,74,18,11,8,44.57162318295734,5.571452897869667,"[19, 11, 22, 12, 8, 3, 4, 2, 12, 9, 18]",28
76,75,9,12,7,40.4089557921618,5.772707970308828,"[19, 11, 22, 12, 8, 3, 4, 2, 12, 9, 18, 9]",31
77,76,18,13,6,33.02620724233968,5.50436787372328,"[19, 11, 22, 12, 8, 3, 4, 2, 12, 9, 18, 9, 18]",34
78,77,9,14,5,29.323551445690796,5.864710289138159,"[19, 11, 22, 12, 8, 3, 4, 2, 12, 9, 18, 9, 18, 9]",37
79,78,1,15,4,23.320837678308642,5.8302094195771605,"[19, 11, 22, 12, 8, 3, 4, 2, 12, 9, 18, 9, 18, 9, 1]",39
80,79,4,16,3,17.318123910926484,5.772707970308828,"[19, 11, 22, 12, 8, 3, 4, 2, 12, 9, 18, 9, 18, 9, 1, 4]",41
81,65,1,2,10,57.267068108941636,5.7267068108941634,"[19, 1]",4
82,81,1,3,9,50.34433115326617,5.59381457258513,"[19, 1, 1]",6
83,82,18,4,8,43.42159419759071,5.427699274698838,"[19, 1, 1, 18]",9
84,83,8,5,7,38.108897821428535,5.444128260204076,"[19, 1, 1, 18, 8]",12
85,84,3,6,6,31.646172459899724,5.274362076649954,"[19, 1, 1, 18, 8, 3]",14
86,85,1,7,5,25.64345869251757,5.128691738503514,"[19, 1, 1, 18, 8, 3, 1]",16
87,86,18,8,4,19.640744925135408,4.910186231283852,"[19, 1, 1, 18, 8, 3, 1, 18]",19
88,80,16,17,2,11.545415940617657,5.772707970308828,"[19, 11, 22, 12, 8, 3, 4, 2, 12, 9, 18, 9, 18, 9, 1, 4, 16]",43
89,66,5,3,14,82.55219954856858,5.896585682040613,"[19, 11, 5]",9
90,89,5,4,13,77.2395031724064,5.941500244031261,"[19, 11, 5, 5]",12
91,90,1,5,12,67.80250775774033,5.650208979811694,"[19, 11, 5, 5, 1]",14
92,91,18,6,11,63.17982877279813,5.743620797527103,"[19, 11, 5, 5, 1, 18]",17
93,92,6,7,10,55.51439086397293,5.551439086397293,"[19, 11, 5, 5, 1, 18, 6]",19
94,93,9,8,9,48.120030591080884,5.346670065675654,"[19, 11, 5, 5, 1, 18, 6, 9]",22
95,94,1,9,8,43.95736320028534,5.494670400035668,"[19, 11, 5, 5, 1, 18, 6, 9, 1]",24
96,87,6,9,3,14.78806014311989,4.929353381039964,"[19, 1, 1, 18, 8, 3, 1, 18, 6]",21
97,88,16,18,1,5.772707970308828,5.772707970308828,"[19, 11, 22, 12, 8, 3, 4, 2, 12, 9, 18, 9, 18, 9, 1, 4, 16, 16]",45
98,95,4,10,7,39.79469580948981,5.68495654421283,"[19, 11, 5, 5, 1, 18, 6, 9, 1, 4]",27
99,98,16,11,6,31.87617825697305,5.312696376162175,"[19, 11, 5, 5, 1, 18, 6, 9, 1, 4, 16]",29
100,99,16,12,5,25.64345869251757,5.128691738503514,"[19, 11, 5, 5, 1, 18, 6, 9, 1, 4, 16, 16]",31
101,0,12,1,15,84.98057897511913,5.665371931674609,[12],3
102,101,9,2,14,79.66788259895696,5.690563042782641,"[12, 9]",6
103,102,4,3,13,72.7451456432815,5.595780434098577,"[12, 9, 4]",8
104,103,12,4,12,65.82240868760604,5.4852007239671705,"[12, 9, 4, 12]",11
105,104,8,5,11,60.96972390559053,5.542702173235503,"[12, 9, 4, 12, 8]",14
106,105,13,6,10,54.506998544061716,5.450699854406172,"[12, 9, 4, 12, 8, 13]",16
107,106,9,7,9,47.1242499942396,5.236027777137733,"[12, 9, 4, 12, 8, 13, 9]",19
108,107,18,8,8,42.73157680637073,5.3414471007963416,"[12, 9, 4, 12, 8, 13, 9, 18]",22
109,108,9,9,7,36.958868836061896,5.2798384051516996,"[12, 9, 4, 12, 8, 13, 9, 18, 9]",25
110,65,4,2,9,51.03434854448615,5.670483171609572,"[19, 4]",4
111,110,3,3,8,44.341617385884014,5.542702173235502,"[19, 4, 3]",6
112,111,18,4,7,38.33890361850186,5.476986231214552,"[19, 4, 3, 18]",9
113,112,6,5,6,33.02620724233968,5.50436787372328,"[19, 4, 3, 18, 6]",11
114,113,6,6,5,27.713510866177508,5.542702173235502,"[19, 4, 3, 18, 6, 6]",13
115,100,13,13,4,19.180733330988758,4.7951833327471896,"[19, 11, 5, 5, 1, 18, 6, 9, 1, 4, 16, 16, 13]",33
116,109,4,10,6,33.02620724233968,5.50436787372328,"[12, 9, 4, 12, 8, 13, 9, 18, 9, 4]",28
117,115,9,14,3,13.1780195636066,4.3926731878688665,"[19, 11, 5, 5, 1, 18, 6, 9, 1, 4, 16, 16, 13, 9]",36
118,114,9,7,4,22.400814490015335,5.600203622503834,"[19, 4, 3, 18, 6, 6, 9]",16
119,116,16,11,5,27.713510866177508,5.542702173235502,"[12, 9, 4, 12, 8, 13, 9, 18, 9, 4, 16]",30
120,96,9,10,2,9.93537536110437,4.967687680552185,"[19, 1, 1, 18, 8, 3, 1, 18, 6, 9]",24
121,67,14,4,3,15.938089128486524,5.312696376162175,"[19, 11, 22, 14]",11
122,121,6,5,2,10.62539275232435,5.312696376162175,"[19, 11, 22, 14, 6]",11
123,118,1,8,3,16.85811231677983,5.619370772259944,"[19, 4, 3, 18, 6, 6, 9, 1]",18
124,53,16,18,2,13.845473911350926,6.922736955675463,"[3, 4, 2, 13, 18, 8, 13, 21, 11, 12, 6, 9, 4, 2, 3, 4, 2, 16]",44
125,35,16,4,11,69.2615443233002,6.296504029390928,"[3, 4, 2, 16]",10
