node_id,parent_id,action_from_parent,depth,visits,total_value,average_value,factor_ids,projlen
0,,,0,2000,13585.507301069194,6.792753650534597,[],0
1,0,19,1,16,89.08506235618619,5.567816397261637,[19],3
2,1,4,2,15,83.10427271960279,5.54028484797352,"[19, 4]",4
3,2,12,3,14,75.27780820857765,5.37698630061269,"[19, 4, 12]",7
4,3,8,4,13,69.99069170823229,5.383899362171714,"[19, 4, 12, 8]",10
5,4,12,5,12,63.31314673012245,5.276095560843538,"[19, 4, 12, 8, 12]",13
6,5,6,6,11,58.48772986808249,5.317066351643863,"[19, 4, 12, 8, 12, 6]",15
7,6,8,7,10,53.662313006042545,5.366231300604254,"[19, 4, 12, 8, 12, 6, 8]",18
8,7,12,8,9,47.681523369459164,5.297947041051018,"[19, 4, 12, 8, 12, 6, 8, 12]",21
9,8,6,9,8,43.317806145724624,5.414725768215578,"[19, 4, 12, 8, 12, 6, 8, 12, 6]",23
10,9,9,10,7,38.954088921990085,5.564869845998584,"[19, 4, 12, 8, 12, 6, 8, 12, 6, 9]",26
11,10,18,11,6,31.58269774236704,5.263782957061173,"[19, 4, 12, 8, 12, 6, 8, 12, 6, 9, 18]",29
12,11,6,12,5,27.680680156937918,5.536136031387583,"[19, 4, 12, 8, 12, 6, 8, 12, 6, 9, 18, 6]",31
13,12,6,13,4,23.778662571508793,5.944665642877198,"[19, 4, 12, 8, 12, 6, 8, 12, 6, 9, 18, 6, 6]",33
14,13,8,14,3,19.876644986079672,6.625548328693224,"[19, 4, 12, 8, 12, 6, 8, 12, 6, 9, 18, 6, 6, 8]",36
15,14,3,15,2,12.510252209660202,6.255126104830101,"[19, 4, 12, 8, 12, 6, 8, 12, 6, 9, 18, 6, 6, 8, 3]",38
16,15,18,16,1,3.440317947123707,3.440317947123707,"[19, 4, 12, 8, 12, 6, 8, 12, 6, 9, 18, 6, 6, 8, 3, 18]",41
17,0,18,1,32,186.27250107289325,5.821015658527914,[18],3
18,17,9,2,15,87.41467774015332,5.827645182676888,"[18, 9]",6
19,18,1,3,14,82.35841105896067,5.88274364706862,"[18, 9, 1]",8
20,19,1,4,13,77.302144377768,5.946318798289846,"[18, 9, 1, 1]",10
21,20,4,5,12,72.24587769657535,6.020489808047945,"[18, 9, 1, 1, 4]",13
22,21,13,6,11,64.41171586734866,5.855610533395333,"[18, 9, 1, 1, 4, 13]",15
23,22,10,7,10,57.2726869553206,5.72726869553206,"[18, 9, 1, 1, 4, 13, 10]",17
24,23,16,8,9,50.829146006728216,5.647682889636468,"[18, 9, 1, 1, 4, 13, 10, 16]",19
25,24,13,9,8,44.61698071414033,5.577122589267542,"[18, 9, 1, 1, 4, 13, 10, 16, 13]",21
26,25,10,10,7,37.01278024066822,5.287540034381174,"[18, 9, 1, 1, 4, 13, 10, 16, 13, 10]",23
27,26,3,11,6,29.18631572964307,4.864385954940512,"[18, 9, 1, 1, 4, 13, 10, 16, 13, 10, 3]",26
28,27,18,12,5,24.59174868675582,4.918349737351164,"[18, 9, 1, 1, 4, 13, 10, 16, 13, 10, 3, 18]",29
29,28,9,13,4,17.916640538319868,4.479160134579967,"[18, 9, 1, 1, 4, 13, 10, 16, 13, 10, 3, 18, 9]",32
30,29,1,14,3,13.783773133738038,4.594591044579346,"[18, 9, 1, 1, 4, 13, 10, 16, 13, 10, 3, 18, 9, 1]",34
31,30,1,15,2,9.650905729156209,4.8254528645781045,"[18, 9, 1, 1, 4, 13, 10, 16, 13, 10, 3, 18, 9, 1, 1]",36
32,31,4,16,1,5.51803832457438,5.51803832457438,"[18, 9, 1, 1, 4, 13, 10, 16, 13, 10, 3, 18, 9, 1, 1, 4]",39
33,17,6,2,16,93.57070683239462,5.848169177024664,"[18, 6]",5
34,33,9,3,15,88.28359033204926,5.8855726888032835,"[18, 6, 9]",8
35,34,4,4,14,83.22732365085659,5.944808832204042,"[18, 6, 9, 4]",11
36,35,2,5,13,75.67058042131467,5.820813878562666,"[18, 6, 9, 4, 2]",13
37,0,16,1,47,297.5175797077746,6.330161270378182,[16],2
38,37,2,2,15,82.86993341002905,5.52466222733527,"[16, 2]",4
39,38,2,3,14,75.96301452543496,5.42592960895964,"[16, 2, 2]",6
40,39,2,4,13,70.44497620086058,5.418844323143121,"[16, 2, 2, 2]",8
41,40,12,5,12,64.0014352522682,5.3334529376890165,"[16, 2, 2, 2, 12]",11
42,41,6,6,11,58.714318751922825,5.337665341083893,"[16, 2, 2, 2, 12, 6]",13
