node_id,parent_id,action_from_parent,depth,visits,total_value,average_value,factor_ids,projlen
0,,,0,10,0.8304195804195804,0.08304195804195805,[],0
1,0,5,1,1,0.07692307692307693,0.07692307692307693,[5],3
2,0,17,1,1,0.09090909090909091,0.09090909090909091,[17],2
3,0,8,1,1,0.08333333333333333,0.08333333333333333,[8],3
4,0,16,1,1,0.09090909090909091,0.09090909090909091,[16],2
5,0,10,1,1,0.08333333333333333,0.08333333333333333,[10],2
6,0,1,1,1,0.07692307692307693,0.07692307692307693,[1],2
7,0,19,1,1,0.08333333333333333,0.08333333333333333,[19],3
8,0,13,1,1,0.09090909090909091,0.09090909090909091,[13],2
9,0,6,1,1,0.07692307692307693,0.07692307692307693,[6],2
10,0,22,1,1,0.07692307692307693,0.07692307692307693,[22],2
